query_id,dataset,guarded_utility,cascade_utility,delta_utility,outcome
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=0,adult,2.444378954728073,2.444378954728073,0.0,tie
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=1,adult,2.460123169449694,2.460123169449694,0.0,tie
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=7,adult,2.460511863640386,2.460511863640386,0.0,tie
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=10,adult,2.4134234177348857,2.4134234177348857,0.0,tie
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=17,adult,2.37345416362354,2.37345416362354,0.0,tie
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=18,adult,2.351327967800528,2.351327967800528,0.0,tie
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=20,adult,2.3369979561653373,2.3369979561653373,0.0,tie
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=22,adult,2.616842427527732,2.616842427527732,0.0,tie
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=25,adult,2.435403831931881,2.435403831931881,0.0,tie
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=26,adult,2.4113016753525787,2.4113016753525787,0.0,tie
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=27,adult,2.491542599633073,2.491542599633073,0.0,tie
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=28,adult,2.4664890070649164,2.4664890070649164,0.0,tie
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=31,adult,2.412175464935446,2.412175464935446,0.0,tie
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=32,adult,2.408359777043125,2.408359777043125,0.0,tie
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=33,adult,2.376762958181816,2.376762958181816,0.0,tie
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=34,adult,2.548787518915288,2.548787518915288,0.0,tie
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=35,adult,2.5756847629128288,2.5756847629128288,0.0,tie
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=38,adult,2.4358197861840263,2.4358197861840263,0.0,tie
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=covariate_shift|row=0,adult,2.4692540462190538,2.4692540462190538,0.0,tie
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=covariate_shift|row=1,adult,2.471125605203484,2.471125605203484,0.0,tie
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=covariate_shift|row=7,adult,2.4745968881922784,2.4745968881922784,0.0,tie
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=covariate_shift|row=10,adult,2.4344163976185262,2.4344163976185262,0.0,tie
