dataset,model_family,seed,depth,setting,constraint,method,n_subgroups,valid_gap,cost_l1_gap,regret_gap,route_accuracy_gap
adult,tree,7,3,covariate_shift,r2_realistic,cascade_exact_auto,2,0.0,0.0,0.0,0.0
adult,tree,7,3,covariate_shift,r2_realistic,exact_tree_milp,2,0.0,9.414751200864657e-09,1.0138475540581268e-08,0.0
adult,tree,7,3,covariate_shift,r2_realistic,fixed_blend,2,0.0,0.0,0.0,0.0
adult,tree,7,3,covariate_shift,r2_realistic,fixed_blend_no_repair,2,0.0,0.0,0.0,0.0
adult,tree,7,3,covariate_shift,r2_realistic,knn_mean_k5,2,0.0,1.1156076499174592,1.1924856402932043,
adult,tree,7,3,covariate_shift,r2_realistic,learned_alpha,2,0.0,0.04069552186958125,0.02517772708927446,0.2222222222222222
adult,tree,7,3,covariate_shift,r2_realistic,learned_router,2,0.0,0.0,0.0,0.0
adult,tree,7,3,covariate_shift,r2_realistic,learned_router_no_geometry,2,0.0,0.0,0.0,0.0
adult,tree,7,3,covariate_shift,r2_realistic,learned_router_no_shift,2,0.0,0.0,0.0,0.0
adult,tree,7,3,covariate_shift,r2_realistic,nn_positive_train,2,0.0,0.23994325339198408,0.30071123256905086,
adult,tree,7,3,covariate_shift,r2_realistic,projection_only,2,0.0,0.0,0.0,0.0
adult,tree,7,3,covariate_shift,r2_realistic,rule_router,2,0.0,0.0,0.0,0.0
adult,tree,7,3,covariate_shift,r2_realistic,safe_router,2,0.0,0.0,0.0,0.0
adult,tree,7,3,covariate_shift,r2_realistic,utility_router,2,0.0,0.0,0.0,0.0
adult,tree,7,3,covariate_shift,r2_realistic,utility_router_guarded,2,0.0,0.0,0.0,0.0
adult,tree,7,3,covariate_shift,r2_realistic,utility_router_no_geometry,2,0.0,0.0,0.0,0.0
adult,tree,7,3,covariate_shift,r2_realistic,utility_router_no_shift,2,0.0,0.0,0.0,0.0
adult,tree,7,3,exemplar_mismatch,r2_realistic,cascade_exact_auto,2,0.0,0.0,0.0,0.2222222222222222
adult,tree,7,3,exemplar_mismatch,r2_realistic,exact_tree_milp,2,0.0,1.329930388038747e-09,1.1558807738115038e-09,0.0
adult,tree,7,3,exemplar_mismatch,r2_realistic,fixed_blend,2,0.0,0.0,0.0,0.2222222222222222
adult,tree,7,3,exemplar_mismatch,r2_realistic,fixed_blend_no_repair,2,0.0,0.0,0.0,0.2222222222222222
adult,tree,7,3,exemplar_mismatch,r2_realistic,knn_mean_k5,2,0.0,0.7963653618090349,0.8648543998848996,
