dataset,model_family,seed,depth,setting,constraint,method,valid,abstained,cost_l1,cost_l2,sparsity,plausibility,utility,regret,route_accuracy,runtime_sec,chosen_alpha,projection_route
adult,tree,7,3,covariate_shift,r2_realistic,cascade_exact_auto,1.0,0.0,2.0,1.4142135623730951,2.0,2.40321568752665,2.4604823531289974,0.0,1.0,0.0666013111347436,1.0,1.0
adult,tree,7,3,covariate_shift,r2_realistic,exact_tree_milp,1.0,0.0,2.000000037439588,1.4142135623730954,2.0,2.4032156892799232,2.4604823908315763,3.7702578738042625e-08,0.0,0.09217423335131672,-1.0,0.0
adult,tree,7,3,covariate_shift,r2_realistic,fixed_blend,1.0,0.0,2.0,1.4142135623730951,2.0,2.40321568752665,2.4604823531289974,0.0,1.0,9.244450161026583e-06,1.0,1.0
adult,tree,7,3,covariate_shift,r2_realistic,fixed_blend_no_repair,1.0,0.0,2.0,1.4142135623730951,2.0,2.40321568752665,2.4604823531289974,0.0,1.0,4.455557144764397e-06,1.0,1.0
adult,tree,7,3,covariate_shift,r2_realistic,knn_mean_k5,1.0,0.0,6.3079890963358745,2.4382071948431,7.833333333333333,1.706164575426961,6.955580449316585,4.495098096187587,,1.1333354955746067e-06,0.0,0.0
adult,tree,7,3,covariate_shift,r2_realistic,learned_alpha,1.0,0.0,2.0749555004797005,1.4172830276635697,4.444444444444445,2.393825394932285,2.656251531941765,0.19576917881276756,0.7777777777777778,0.0002753333279138638,0.9609091159611993,0.2777777777777778
adult,tree,7,3,covariate_shift,r2_realistic,learned_router,1.0,0.0,2.0,1.4142135623730951,2.0,2.40321568752665,2.4604823531289974,0.0,1.0,9.244450161026583e-06,1.0,1.0
adult,tree,7,3,covariate_shift,r2_realistic,learned_router_no_geometry,1.0,0.0,2.0,1.4142135623730951,2.0,2.40321568752665,2.4604823531289974,0.0,1.0,9.244450161026583e-06,1.0,1.0
adult,tree,7,3,covariate_shift,r2_realistic,learned_router_no_shift,1.0,0.0,2.0,1.4142135623730951,2.0,2.40321568752665,2.4604823531289974,0.0,1.0,9.244450161026583e-06,1.0,1.0
adult,tree,7,3,covariate_shift,r2_realistic,nn_positive_train,1.0,0.0,6.212592565448485,2.390409679189043,7.611111111111111,1.8605710503728987,6.872233778559976,4.411751425430978,,9.66674027343591e-07,0.0,0.0
adult,tree,7,3,covariate_shift,r2_realistic,projection_only,1.0,0.0,2.0,1.4142135623730951,2.0,2.40321568752665,2.4604823531289974,0.0,1.0,9.244450161026583e-06,1.0,1.0
adult,tree,7,3,covariate_shift,r2_realistic,rule_router,1.0,0.0,2.0,1.4142135623730951,2.0,2.40321568752665,2.4604823531289974,0.0,1.0,9.244450161026583e-06,1.0,1.0
adult,tree,7,3,covariate_shift,r2_realistic,safe_router,1.0,0.0,2.0,1.4142135623730951,2.0,2.40321568752665,2.4604823531289974,0.0,1.0,9.244450161026583e-06,1.0,1.0
adult,tree,7,3,covariate_shift,r2_realistic,utility_router,1.0,0.0,2.0,1.4142135623730951,2.0,2.40321568752665,2.4604823531289974,0.0,1.0,9.244450161026583e-06,1.0,1.0
adult,tree,7,3,covariate_shift,r2_realistic,utility_router_guarded,1.0,0.0,2.0,1.4142135623730951,2.0,2.40321568752665,2.4604823531289974,0.0,1.0,9.244450161026583e-06,1.0,1.0
adult,tree,7,3,covariate_shift,r2_realistic,utility_router_no_geometry,1.0,0.0,2.0,1.4142135623730951,2.0,2.40321568752665,2.4604823531289974,0.0,1.0,9.244450161026583e-06,1.0,1.0
adult,tree,7,3,covariate_shift,r2_realistic,utility_router_no_shift,1.0,0.0,2.0,1.4142135623730951,2.0,2.40321568752665,2.4604823531289974,0.0,1.0,9.244450161026583e-06,1.0,1.0
adult,tree,7,3,exemplar_mismatch,r2_realistic,cascade_exact_auto,1.0,0.0,2.0,1.4142135623730951,2.0,2.3034767788241313,2.4455215168236197,0.0,0.8888888888888888,0.04664968891302124,1.0,1.0
adult,tree,7,3,exemplar_mismatch,r2_realistic,exact_tree_milp,1.0,0.0,2.0000000379434795,1.4142135623730954,2.0,2.3034767792092,2.4455215548248592,3.800123980922542e-08,0.0,0.09395245557081783,-1.0,0.0
adult,tree,7,3,exemplar_mismatch,r2_realistic,fixed_blend,1.0,0.0,2.0,1.4142135623730951,2.0,2.3034767788241313,2.4455215168236197,0.0,0.8888888888888888,8.038885425776243e-06,1.0,1.0
adult,tree,7,3,exemplar_mismatch,r2_realistic,fixed_blend_no_repair,1.0,0.0,2.0,1.4142135623730951,2.0,2.3034767788241313,2.4455215168236197,0.0,0.8888888888888888,4.661114265521367e-06,1.0,1.0
adult,tree,7,3,exemplar_mismatch,r2_realistic,knn_mean_k5,1.0,0.0,5.831102534522741,2.4120450731315746,6.833333333333333,1.6005625530377816,6.412853584145075,3.9673320673214554,,1.1722246805826824e-06,0.0,0.0
adult,tree,7,3,exemplar_mismatch,r2_realistic,learned_alpha,1.0,0.0,2.056513570849869,1.4161329295228073,3.2222222222222223,2.296946403713537,2.5621666425180103,0.11664512569439076,0.5555555555555556,0.00028438333214985,0.9375443672839506,0.2222222222222222
adult,tree,7,3,exemplar_mismatch,r2_realistic,learned_router,1.0,0.0,2.0,1.4142135623730951,2.0,2.3034767788241313,2.4455215168236197,0.0,0.8888888888888888,8.038885425776243e-06,1.0,1.0
adult,tree,7,3,exemplar_mismatch,r2_realistic,learned_router_no_geometry,1.0,0.0,2.0,1.4142135623730951,2.0,2.3034767788241313,2.4455215168236197,0.0,0.8888888888888888,8.038885425776243e-06,1.0,1.0
adult,tree,7,3,exemplar_mismatch,r2_realistic,learned_router_no_shift,1.0,0.0,2.0,1.4142135623730951,2.0,2.3034767788241313,2.4455215168236197,0.0,0.8888888888888888,8.038885425776243e-06,1.0,1.0
adult,tree,7,3,exemplar_mismatch,r2_realistic,nn_positive_train,1.0,0.0,5.4982608038100365,2.32352096406961,5.833333333333333,1.7525704678512841,6.052813040654395,3.6072915238307752,,1.0333347341252697e-06,0.0,0.0
adult,tree,7,3,exemplar_mismatch,r2_realistic,projection_only,1.0,0.0,2.0,1.4142135623730951,2.0,2.3034767788241313,2.4455215168236197,0.0,0.8888888888888888,8.038885425776243e-06,1.0,1.0
adult,tree,7,3,exemplar_mismatch,r2_realistic,rule_router,1.0,0.0,2.0,1.4142135623730951,2.0,2.3034767788241313,2.4455215168236197,0.0,0.8888888888888888,8.038885425776243e-06,1.0,1.0
adult,tree,7,3,exemplar_mismatch,r2_realistic,safe_router,1.0,0.0,2.0,1.4142135623730951,2.0,2.3034767788241313,2.4455215168236197,0.0,0.8888888888888888,8.038885425776243e-06,1.0,1.0
adult,tree,7,3,exemplar_mismatch,r2_realistic,utility_router,1.0,0.0,2.0,1.4142135623730951,2.0,2.3034767788241313,2.4455215168236197,0.0,0.8888888888888888,8.038885425776243e-06,1.0,1.0
adult,tree,7,3,exemplar_mismatch,r2_realistic,utility_router_guarded,1.0,0.0,2.0,1.4142135623730951,2.0,2.3034767788241313,2.4455215168236197,0.0,0.8888888888888888,8.038885425776243e-06,1.0,1.0
adult,tree,7,3,exemplar_mismatch,r2_realistic,utility_router_no_geometry,1.0,0.0,2.0,1.4142135623730951,2.0,2.3034767788241313,2.4455215168236197,0.0,0.8888888888888888,8.038885425776243e-06,1.0,1.0
adult,tree,7,3,exemplar_mismatch,r2_realistic,utility_router_no_shift,1.0,0.0,2.0,1.4142135623730951,2.0,2.3034767788241313,2.4455215168236197,0.0,0.8888888888888888,8.038885425776243e-06,1.0,1.0
adult,tree,7,3,in_domain,r2_realistic,cascade_exact_auto,1.0,0.0,2.0,1.4142135623730951,2.0,2.3034767788241313,2.4455215168236197,0.0,0.8888888888888888,0.03911213889174784,1.0,1.0
adult,tree,7,3,in_domain,r2_realistic,exact_tree_milp,1.0,0.0,2.0000000379434795,1.4142135623730954,2.0,2.3034767792092,2.4455215548248592,3.800123980922542e-08,0.0,0.08426706668170583,-1.0,0.0
adult,tree,7,3,in_domain,r2_realistic,fixed_blend,1.0,0.0,2.0,1.4142135623730951,2.0,2.3034767788241313,2.4455215168236197,0.0,0.8888888888888888,8.733322223027548e-06,1.0,1.0
adult,tree,7,3,in_domain,r2_realistic,fixed_blend_no_repair,1.0,0.0,2.0,1.4142135623730951,2.0,2.3034767788241313,2.4455215168236197,0.0,0.8888888888888888,4.211084968927834e-06,1.0,1.0
adult,tree,7,3,in_domain,r2_realistic,knn_mean_k5,1.0,0.0,5.831102534522741,2.4120450731315746,6.833333333333333,1.6005625530377816,6.412853584145075,3.9673320673214554,,1.066674788792928e-06,0.0,0.0
adult,tree,7,3,in_domain,r2_realistic,learned_alpha,1.0,0.0,2.056513570849869,1.4161329295228073,3.2222222222222223,2.296946403713537,2.5621666425180103,0.11664512569439073,0.5555555555555556,0.0002781111139079763,0.9375443672839506,0.2222222222222222
adult,tree,7,3,in_domain,r2_realistic,learned_router,1.0,0.0,2.0,1.4142135623730951,2.0,2.3034767788241313,2.4455215168236197,0.0,0.8888888888888888,8.733322223027548e-06,1.0,1.0
adult,tree,7,3,in_domain,r2_realistic,learned_router_no_geometry,1.0,0.0,2.0,1.4142135623730951,2.0,2.3034767788241313,2.4455215168236197,0.0,0.8888888888888888,8.733322223027548e-06,1.0,1.0
adult,tree,7,3,in_domain,r2_realistic,learned_router_no_shift,1.0,0.0,2.0,1.4142135623730951,2.0,2.3034767788241313,2.4455215168236197,0.0,0.8888888888888888,8.733322223027548e-06,1.0,1.0
adult,tree,7,3,in_domain,r2_realistic,nn_positive_train,1.0,0.0,5.4982608038100365,2.32352096406961,5.833333333333333,1.7525704678512841,6.052813040654395,3.6072915238307752,,9.388895705342293e-07,0.0,0.0
adult,tree,7,3,in_domain,r2_realistic,projection_only,1.0,0.0,2.0,1.4142135623730951,2.0,2.3034767788241313,2.4455215168236197,0.0,0.8888888888888888,8.733322223027548e-06,1.0,1.0
adult,tree,7,3,in_domain,r2_realistic,rule_router,1.0,0.0,2.0,1.4142135623730951,2.0,2.3034767788241313,2.4455215168236197,0.0,0.8888888888888888,8.733322223027548e-06,1.0,1.0
adult,tree,7,3,in_domain,r2_realistic,safe_router,1.0,0.0,2.0,1.4142135623730951,2.0,2.3034767788241313,2.4455215168236197,0.0,0.8888888888888888,8.733322223027548e-06,1.0,1.0
adult,tree,7,3,in_domain,r2_realistic,utility_router,1.0,0.0,2.0,1.4142135623730951,2.0,2.3034767788241313,2.4455215168236197,0.0,0.8888888888888888,8.733322223027548e-06,1.0,1.0
adult,tree,7,3,in_domain,r2_realistic,utility_router_guarded,1.0,0.0,2.0,1.4142135623730951,2.0,2.3034767788241313,2.4455215168236197,0.0,0.8888888888888888,8.733322223027548e-06,1.0,1.0
adult,tree,7,3,in_domain,r2_realistic,utility_router_no_geometry,1.0,0.0,2.0,1.4142135623730951,2.0,2.3034767788241313,2.4455215168236197,0.0,0.8888888888888888,8.733322223027548e-06,1.0,1.0
adult,tree,7,3,in_domain,r2_realistic,utility_router_no_shift,1.0,0.0,2.0,1.4142135623730951,2.0,2.3034767788241313,2.4455215168236197,0.0,0.8888888888888888,8.733322223027548e-06,1.0,1.0
adult,tree,7,3,subgroup_shift,r2_realistic,cascade_exact_auto,1.0,0.0,2.0,1.4142135623730951,2.0,2.5636615136151533,2.4845492270422733,0.0,1.0,0.04109405554158406,1.0,1.0
