dataset,constraint,method,utility,valid,runtime_sec
adult,r1_all_mutable,fixed_blend,152.23057868368275,0.8537170263788969,0.0001028345320463023
adult,r1_all_mutable,projection_only,840.2781021358195,0.1606714628297362,6.451800228844729e-06
adult,r1_all_mutable,utility_router_guarded,152.1251380372368,0.8537170263788969,9.330767329683179e-05
adult,r1_immutable_only,fixed_blend,151.77457490865984,0.8537170263788969,0.00010593213661342842
adult,r1_immutable_only,projection_only,840.2781021358195,0.1606714628297362,6.632132587476457e-06
adult,r1_immutable_only,utility_router_guarded,151.67689518538492,0.8537170263788969,9.642158522173711e-05
adult,r1_structural,fixed_blend,58.269944575562924,0.947242206235012,0.0002498352529962947
adult,r1_structural,projection_only,466.71859702568156,0.5347721822541966,6.3081540511273365e-06
adult,r1_structural,utility_router_guarded,57.58403874203127,0.947242206235012,0.00018164820408520343
adult,r2_realistic,fixed_blend,58.1088989984692,0.947242206235012,0.0002423136718950374
adult,r2_realistic,projection_only,466.71859702568156,0.5347721822541966,6.5618707760453795e-06
adult,r2_realistic,utility_router_guarded,57.464506812395435,0.947242206235012,0.0001797261399415324
bank,r1_all_mutable,fixed_blend,292.96626844154883,0.7139917695473251,0.00010957489644823297
bank,r1_all_mutable,projection_only,655.1904621256889,0.345679012345679,6.5286004716538105e-06
bank,r1_all_mutable,utility_router_guarded,292.03132991603945,0.7139917695473251,8.307839552161315e-05
bank,r1_immutable_only,fixed_blend,628.8094197148765,0.37448559670781895,0.00018189258949152538
bank,r1_immutable_only,projection_only,782.8217962275905,0.21810699588477367,6.406583321192628e-06
bank,r1_immutable_only,utility_router_guarded,627.7032802605281,0.37448559670781895,5.047510132774689e-05
bank,r1_structural,fixed_blend,43.35095150961736,0.9588477366255144,9.235781579135292e-05
bank,r1_structural,projection_only,70.00788246581588,0.9320987654320988,6.518104169211147e-06
bank,r1_structural,utility_router_guarded,43.27128854962627,0.9588477366255144,2.84045238580543e-05
bank,r2_realistic,fixed_blend,43.33827042213612,0.9588477366255144,9.345041526625733e-05
bank,r2_realistic,projection_only,70.00788246581588,0.9320987654320988,6.459260056630819e-06
bank,r2_realistic,utility_router_guarded,43.27128854962627,0.9588477366255144,2.934238892584775e-05
compas,r1_all_mutable,fixed_blend,24.893637913634862,0.9769230769230769,9.563692355860389e-05
compas,r1_all_mutable,projection_only,616.3095946041985,0.38461538461538464,6.43589808486211e-06
compas,r1_all_mutable,utility_router_guarded,24.851126103454735,0.9769230769230769,9.509820598533434e-05
compas,r1_immutable_only,fixed_blend,1.40420127611949,1.0,2.9763805546922847e-05
compas,r1_immutable_only,projection_only,153.746062398599,0.8476190476190476,6.33951664591829e-06
compas,r1_immutable_only,utility_router_guarded,1.40420127611949,1.0,2.9763805546922847e-05
compas,r1_structural,fixed_blend,1.5890076401898647,1.0,5.316802896051518e-05
compas,r1_structural,projection_only,219.23670104825962,0.782312925170068,6.309523544952172e-06
compas,r1_structural,utility_router_guarded,1.5890076401898647,1.0,5.316802896051518e-05
compas,r2_realistic,fixed_blend,1.5890076401898647,1.0,5.35299301426113e-05
compas,r2_realistic,projection_only,219.23670104825962,0.782312925170068,6.237410192637622e-06
compas,r2_realistic,utility_router_guarded,1.5890076401898647,1.0,5.35299301426113e-05
german,r1_all_mutable,fixed_blend,59.37878614982793,0.9513381995133819,8.194939088338904e-05
german,r1_all_mutable,projection_only,949.9312983321803,0.051094890510948905,6.244040871551147e-06
german,r1_all_mutable,utility_router_guarded,59.13707644072717,0.9513381995133819,8.020291972787263e-05
german,r1_immutable_only,fixed_blend,102.73175326702275,0.9075425790754258,8.668272343629087e-05
german,r1_immutable_only,projection_only,949.9448765875334,0.051094890510948905,6.444280606823681e-06
german,r1_immutable_only,utility_router_guarded,102.14508479942089,0.9075425790754258,7.993016910904281e-05
german,r1_structural,fixed_blend,11.10672899403432,0.9927007299270073,0.0003732761544902651
german,r1_structural,projection_only,17.017400532832674,0.9854014598540146,6.51824795652335e-06
german,r1_structural,utility_router_guarded,10.040736779515253,0.9927007299270073,0.00030014428328223466
german,r2_realistic,fixed_blend,11.10672899403432,0.9927007299270073,0.00036512044090730527
german,r2_realistic,projection_only,17.017400532832674,0.9854014598540146,6.400730796248953e-06
german,r2_realistic,utility_router_guarded,10.040736779515253,0.9927007299270073,0.0002908231169347855
