dataset,model_family,seed,depth,setting,constraint,method,subgroup,valid,abstained,cost_l1,regret,route_accuracy
adult,tree,7,3,covariate_shift,r1_all_mutable,fixed_blend,Female,0.6923076923076923,0.0,5.782059779679126,3.997921354122479,0.23076923076923078
adult,tree,7,3,covariate_shift,r1_all_mutable,fixed_blend,Male,0.9166666666666666,0.0,4.9140419694471325,2.9250730108107965,0.25
adult,tree,7,3,covariate_shift,r1_all_mutable,fixed_blend_no_repair,Female,0.6923076923076923,0.0,5.782059779679126,3.997921354122479,0.23076923076923078
adult,tree,7,3,covariate_shift,r1_all_mutable,fixed_blend_no_repair,Male,0.9166666666666666,0.0,4.9140419694471325,2.9250730108107965,0.25
adult,tree,7,3,covariate_shift,r1_all_mutable,knn_mean_k5,Female,1.0,0.0,8.603061137122946,-300.44134872057793,
adult,tree,7,3,covariate_shift,r1_all_mutable,knn_mean_k5,Male,1.0,0.0,7.362967793810796,-77.57035789463372,
adult,tree,7,3,covariate_shift,r1_all_mutable,learned_alpha,Female,0.46153846153846156,0.0,1.6854518921208244,230.73225154170288,0.46153846153846156
adult,tree,7,3,covariate_shift,r1_all_mutable,learned_alpha,Male,0.6666666666666666,0.0,1.3526621966111314,249.45307433325198,0.5833333333333334
adult,tree,7,3,covariate_shift,r1_all_mutable,learned_router,Female,0.5384615384615384,0.0,3.1959663805804563,155.1065410385086,0.46153846153846156
adult,tree,7,3,covariate_shift,r1_all_mutable,learned_router,Male,0.9166666666666666,0.0,4.470812444182008,2.4547593648084343,0.3333333333333333
adult,tree,7,3,covariate_shift,r1_all_mutable,learned_router_no_geometry,Female,0.5384615384615384,0.0,3.8532004353769334,155.7986520522021,0.46153846153846156
adult,tree,7,3,covariate_shift,r1_all_mutable,learned_router_no_geometry,Male,0.9166666666666666,0.0,4.470812444182008,2.4547593648084343,0.3333333333333333
adult,tree,7,3,covariate_shift,r1_all_mutable,learned_router_no_shift,Female,0.5384615384615384,0.0,3.1959663805804563,155.1065410385086,0.46153846153846156
adult,tree,7,3,covariate_shift,r1_all_mutable,learned_router_no_shift,Male,0.8333333333333334,0.0,3.987624989297083,85.28393313545831,0.3333333333333333
adult,tree,7,3,covariate_shift,r1_all_mutable,nn_positive_train,Female,1.0,0.0,7.523795056541161,-301.98961562297666,
adult,tree,7,3,covariate_shift,r1_all_mutable,nn_positive_train,Male,1.0,0.0,6.38745608835985,-78.96211632000457,
adult,tree,7,3,covariate_shift,r1_all_mutable,projection_only,Female,0.0,0.0,0.556853949093025,690.728011267005,0.3076923076923077
adult,tree,7,3,covariate_shift,r1_all_mutable,projection_only,Male,0.08333333333333333,0.0,0.493799612708979,831.5739816504323,0.16666666666666666
adult,tree,7,3,covariate_shift,r1_all_mutable,rule_router,Female,0.0,0.0,0.556853949093025,690.728011267005,0.3076923076923077
adult,tree,7,3,covariate_shift,r1_all_mutable,rule_router,Male,0.08333333333333333,0.0,0.493799612708979,831.5739816504323,0.16666666666666666
adult,tree,7,3,covariate_shift,r1_all_mutable,safe_router,Female,0.0,1.0,,-306.4404524266965,0.5384615384615384
adult,tree,7,3,covariate_shift,r1_all_mutable,safe_router,Male,0.08333333333333333,0.9166666666666666,3.258006058332413,-82.18722092957718,0.3333333333333333
adult,tree,7,3,covariate_shift,r1_all_mutable,utility_router,Female,0.6923076923076923,0.0,5.782059779679126,3.997921354122479,0.23076923076923078
adult,tree,7,3,covariate_shift,r1_all_mutable,utility_router,Male,0.9166666666666666,0.0,4.9140419694471325,2.9250730108107965,0.25
adult,tree,7,3,covariate_shift,r1_all_mutable,utility_router_guarded,Female,0.6923076923076923,0.0,5.782059779679126,3.997921354122479,0.23076923076923078
adult,tree,7,3,covariate_shift,r1_all_mutable,utility_router_guarded,Male,0.9166666666666666,0.0,4.9140419694471325,2.9250730108107965,0.25
adult,tree,7,3,covariate_shift,r1_all_mutable,utility_router_no_geometry,Female,0.6923076923076923,0.0,5.782059779679126,3.997921354122479,0.23076923076923078
adult,tree,7,3,covariate_shift,r1_all_mutable,utility_router_no_geometry,Male,0.9166666666666666,0.0,4.9140419694471325,2.9250730108107965,0.25
adult,tree,7,3,covariate_shift,r1_all_mutable,utility_router_no_shift,Female,0.6923076923076923,0.0,5.782059779679126,3.997921354122479,0.23076923076923078
adult,tree,7,3,covariate_shift,r1_all_mutable,utility_router_no_shift,Male,0.9166666666666666,0.0,4.9140419694471325,2.9250730108107965,0.25
adult,tree,7,3,covariate_shift,r1_immutable_only,fixed_blend,Female,0.6923076923076923,0.0,5.191749719056554,3.6300280067311115,0.23076923076923078
adult,tree,7,3,covariate_shift,r1_immutable_only,fixed_blend,Male,0.9166666666666666,0.0,4.433048586717628,2.6211100519954873,0.25
adult,tree,7,3,covariate_shift,r1_immutable_only,fixed_blend_no_repair,Female,0.6923076923076923,0.0,5.191749719056554,3.6300280067311115,0.23076923076923078
adult,tree,7,3,covariate_shift,r1_immutable_only,fixed_blend_no_repair,Male,0.9166666666666666,0.0,4.433048586717628,2.6211100519954873,0.25
adult,tree,7,3,covariate_shift,r1_immutable_only,knn_mean_k5,Female,1.0,0.0,8.04769168245242,-300.78245174888957,
adult,tree,7,3,covariate_shift,r1_immutable_only,knn_mean_k5,Male,1.0,0.0,6.75225195331485,-78.01078333131268,
adult,tree,7,3,covariate_shift,r1_immutable_only,learned_alpha,Female,0.46153846153846156,0.0,1.5619260027213413,230.81380232969428,0.46153846153846156
adult,tree,7,3,covariate_shift,r1_immutable_only,learned_alpha,Male,0.6666666666666666,0.0,1.2515645132702158,249.51021171146093,0.5833333333333334
adult,tree,7,3,covariate_shift,r1_immutable_only,learned_router,Female,0.5384615384615384,0.0,2.9184701982365118,155.05943498614593,0.46153846153846156
adult,tree,7,3,covariate_shift,r1_immutable_only,learned_router,Male,0.9166666666666666,0.0,4.049943234293692,2.212535101859658,0.3333333333333333
adult,tree,7,3,covariate_shift,r1_immutable_only,learned_router_no_geometry,Female,0.5384615384615384,0.0,3.4596603949618845,155.63706570893453,0.46153846153846156
adult,tree,7,3,covariate_shift,r1_immutable_only,learned_router_no_geometry,Male,0.9166666666666666,0.0,4.049943234293692,2.212535101859658,0.3333333333333333
adult,tree,7,3,covariate_shift,r1_immutable_only,learned_router_no_shift,Female,0.5384615384615384,0.0,2.9184701982365118,155.05943498614593,0.46153846153846156
adult,tree,7,3,covariate_shift,r1_immutable_only,learned_router_no_shift,Male,0.8333333333333334,0.0,3.665140789512529,85.13979766499823,0.3333333333333333
adult,tree,7,3,covariate_shift,r1_immutable_only,nn_positive_train,Female,1.0,0.0,6.736714975711062,-302.53682220557073,
adult,tree,7,3,covariate_shift,r1_immutable_only,nn_positive_train,Male,1.0,0.0,5.746131578053845,-79.41411465240176,
adult,tree,7,3,covariate_shift,r1_immutable_only,projection_only,Female,0.0,0.0,0.556853949093025,690.9796333084504,0.3076923076923077
adult,tree,7,3,covariate_shift,r1_immutable_only,projection_only,Male,0.08333333333333333,0.0,0.493799612708979,831.7705273752803,0.16666666666666666
adult,tree,7,3,covariate_shift,r1_immutable_only,rule_router,Female,0.0,0.0,0.556853949093025,690.9796333084504,0.3076923076923077
adult,tree,7,3,covariate_shift,r1_immutable_only,rule_router,Male,0.08333333333333333,0.0,0.493799612708979,831.7705273752803,0.16666666666666666
adult,tree,7,3,covariate_shift,r1_immutable_only,safe_router,Female,0.0,1.0,,-306.31742636074966,0.5384615384615384
adult,tree,7,3,covariate_shift,r1_immutable_only,safe_router,Male,0.08333333333333333,0.9166666666666666,3.1011903483984877,-82.12262385365132,0.3333333333333333
adult,tree,7,3,covariate_shift,r1_immutable_only,utility_router,Female,0.6923076923076923,0.0,5.191749719056554,3.6300280067311115,0.23076923076923078
adult,tree,7,3,covariate_shift,r1_immutable_only,utility_router,Male,0.9166666666666666,0.0,4.433048586717628,2.6211100519954873,0.25
adult,tree,7,3,covariate_shift,r1_immutable_only,utility_router_guarded,Female,0.6923076923076923,0.0,5.191749719056554,3.6300280067311115,0.23076923076923078
adult,tree,7,3,covariate_shift,r1_immutable_only,utility_router_guarded,Male,0.9166666666666666,0.0,4.433048586717628,2.6211100519954873,0.25
adult,tree,7,3,covariate_shift,r1_immutable_only,utility_router_no_geometry,Female,0.6923076923076923,0.0,5.191749719056554,3.6300280067311115,0.23076923076923078
adult,tree,7,3,covariate_shift,r1_immutable_only,utility_router_no_geometry,Male,0.9166666666666666,0.0,4.433048586717628,2.6211100519954873,0.25
adult,tree,7,3,covariate_shift,r1_immutable_only,utility_router_no_shift,Female,0.6923076923076923,0.0,5.191749719056554,3.6300280067311115,0.23076923076923078
adult,tree,7,3,covariate_shift,r1_immutable_only,utility_router_no_shift,Male,0.9166666666666666,0.0,4.433048586717628,2.6211100519954873,0.25
adult,tree,7,3,covariate_shift,r1_structural,fixed_blend,Female,0.8461538461538461,0.0,5.392281360717781,3.715432225518311,0.07692307692307693
adult,tree,7,3,covariate_shift,r1_structural,fixed_blend,Male,0.9166666666666666,0.0,5.348859641819129,3.4046825777755405,0.16666666666666666
adult,tree,7,3,covariate_shift,r1_structural,fixed_blend_no_repair,Female,0.8461538461538461,0.0,5.392281360717781,3.715432225518311,0.07692307692307693
adult,tree,7,3,covariate_shift,r1_structural,fixed_blend_no_repair,Male,0.9166666666666666,0.0,5.348859641819129,3.4046825777755405,0.16666666666666666
adult,tree,7,3,covariate_shift,r1_structural,knn_mean_k5,Female,1.0,0.0,6.263076297837035,-149.22254968312802,
adult,tree,7,3,covariate_shift,r1_structural,knn_mean_k5,Male,1.0,0.0,6.585585286648183,-78.64807836719422,
adult,tree,7,3,covariate_shift,r1_structural,learned_alpha,Female,0.6923076923076923,0.0,1.4208976652686922,153.48484048462768,0.6923076923076923
adult,tree,7,3,covariate_shift,r1_structural,learned_alpha,Male,0.6666666666666666,0.0,0.812219653707249,248.78458773652935,0.5833333333333334
adult,tree,7,3,covariate_shift,r1_structural,learned_router,Female,0.7692307692307693,0.0,3.507711713080272,78.6499806961935,0.38461538461538464
adult,tree,7,3,covariate_shift,r1_structural,learned_router,Male,0.9166666666666666,0.0,4.4304019673606225,2.436115784728511,0.3333333333333333
adult,tree,7,3,covariate_shift,r1_structural,learned_router_no_geometry,Female,0.7692307692307693,0.0,4.294821287211365,79.49518733811678,0.23076923076923078
adult,tree,7,3,covariate_shift,r1_structural,learned_router_no_geometry,Male,0.9166666666666666,0.0,4.763121078808452,2.783370091642467,0.25
adult,tree,7,3,covariate_shift,r1_structural,learned_router_no_shift,Female,0.7692307692307693,0.0,3.507711713080272,78.6499806961935,0.38461538461538464
adult,tree,7,3,covariate_shift,r1_structural,learned_router_no_shift,Male,0.9166666666666666,0.0,4.4304019673606225,2.436115784728511,0.3333333333333333
adult,tree,7,3,covariate_shift,r1_structural,nn_positive_train,Female,1.0,0.0,5.813638052634139,-149.7111792274941,
adult,tree,7,3,covariate_shift,r1_structural,nn_positive_train,Male,1.0,0.0,5.746131578053845,-79.53613914055718,
adult,tree,7,3,covariate_shift,r1_structural,projection_only,Female,0.15384615384615385,0.0,1.2051343618917831,691.5770281823158,0.3076923076923077
adult,tree,7,3,covariate_shift,r1_structural,projection_only,Male,0.16666666666666666,0.0,0.6570438331149816,748.4785848835844,0.25
adult,tree,7,3,covariate_shift,r1_structural,rule_router,Female,0.15384615384615385,0.0,1.2051343618917831,691.5770281823158,0.3076923076923077
adult,tree,7,3,covariate_shift,r1_structural,rule_router,Male,0.16666666666666666,0.0,0.6570438331149816,748.4785848835844,0.25
adult,tree,7,3,covariate_shift,r1_structural,safe_router,Female,0.23076923076923078,0.7692307692307693,1.9193353527774708,-152.75069566175895,0.38461538461538464
adult,tree,7,3,covariate_shift,r1_structural,safe_router,Male,0.08333333333333333,0.9166666666666666,2.0,-82.22579304164499,0.4166666666666667
adult,tree,7,3,covariate_shift,r1_structural,utility_router,Female,0.8461538461538461,0.0,5.392281360717781,3.715432225518311,0.07692307692307693
adult,tree,7,3,covariate_shift,r1_structural,utility_router,Male,0.9166666666666666,0.0,5.348859641819129,3.4046825777755405,0.16666666666666666
adult,tree,7,3,covariate_shift,r1_structural,utility_router_guarded,Female,0.8461538461538461,0.0,5.392281360717781,3.715432225518311,0.07692307692307693
adult,tree,7,3,covariate_shift,r1_structural,utility_router_guarded,Male,0.9166666666666666,0.0,5.348859641819129,3.4046825777755405,0.16666666666666666
adult,tree,7,3,covariate_shift,r1_structural,utility_router_no_geometry,Female,0.8461538461538461,0.0,5.392281360717781,3.715432225518311,0.07692307692307693
adult,tree,7,3,covariate_shift,r1_structural,utility_router_no_geometry,Male,0.9166666666666666,0.0,4.763121078808452,2.783370091642467,0.25
adult,tree,7,3,covariate_shift,r1_structural,utility_router_no_shift,Female,0.8461538461538461,0.0,5.392281360717781,3.715432225518311,0.07692307692307693
adult,tree,7,3,covariate_shift,r1_structural,utility_router_no_shift,Male,0.9166666666666666,0.0,5.348859641819129,3.4046825777755405,0.16666666666666666
adult,tree,7,3,covariate_shift,r2_realistic,fixed_blend,Female,0.8461538461538461,0.0,5.305562045352925,3.635047646531582,0.07692307692307693
adult,tree,7,3,covariate_shift,r2_realistic,fixed_blend,Male,0.9166666666666666,0.0,5.279652890903702,3.3408828644002555,0.16666666666666666
adult,tree,7,3,covariate_shift,r2_realistic,fixed_blend_no_repair,Female,0.8461538461538461,0.0,5.305562045352925,3.635047646531582,0.07692307692307693
adult,tree,7,3,covariate_shift,r2_realistic,fixed_blend_no_repair,Male,0.9166666666666666,0.0,5.279652890903702,3.3408828644002555,0.16666666666666666
adult,tree,7,3,covariate_shift,r2_realistic,knn_mean_k5,Female,1.0,0.0,6.209850620440372,-149.26983378474114,
