dataset,model_family,seed,depth,setting,constraint,method,valid,abstained,cost_l1,cost_l2,sparsity,plausibility,utility,regret,route_accuracy,runtime_sec,chosen_alpha,projection_route
adult,tree,7,3,covariate_shift,r1_all_mutable,fixed_blend,0.8,0.0,5.365411230767769,1.9386952487410318,9.28,1.5787356464352045,206.06622157773305,3.4829541493328713,0.24,8.873999118804931e-05,0.25,0.0
adult,tree,7,3,covariate_shift,r1_all_mutable,fixed_blend_no_repair,0.8,0.0,5.365411230767769,1.9386952487410318,9.28,1.5787356464352045,206.06622157773305,3.4829541493328713,0.24,1.2904005125164985e-05,0.25,0.0
adult,tree,7,3,covariate_shift,r1_all_mutable,knn_mean_k5,1.0,0.0,8.007816332333114,2.203105535949999,17.68,1.5211864796157828,9.119994304275481,-193.46327312412473,,9.120022878050804e-07,0.0,0.0
adult,tree,7,3,covariate_shift,r1_all_mutable,learned_alpha,0.56,0.0,1.5257128382761718,0.6572583289997697,9.28,2.0786738118030983,442.30151391004665,239.71824648164645,0.52,0.00018249200657010077,0.8518073023600427,0.0
adult,tree,7,3,covariate_shift,r1_all_mutable,learned_router,0.72,0.0,3.8078924911092007,1.473001487496895,6.8,1.7937384828234368,284.4169532635327,81.83368583513251,0.4,5.801199469715357e-05,0.46,0.28
adult,tree,7,3,covariate_shift,r1_all_mutable,learned_router_no_geometry,0.72,0.0,4.149654199603369,1.5736071024173974,7.24,1.7679786069997638,284.7768509906533,82.19358356225314,0.4,6.461199373006821e-05,0.43,0.24
adult,tree,7,3,covariate_shift,r1_all_mutable,learned_router_no_shift,0.68,0.0,3.5759625127644377,1.40062364705608,6.48,1.833294404534807,324.1749566734446,121.59168924504445,0.4,5.5611995048820975e-05,0.49,0.32
adult,tree,7,3,covariate_shift,r1_all_mutable,nn_positive_train,1.0,0.0,6.978352351814132,2.5472869983860864,9.04,1.4433274602399733,7.646851470850128,-194.93641595755005,,9.639933705329894e-07,0.0,0.0
adult,tree,7,3,covariate_shift,r1_all_mutable,projection_only,0.04,0.0,0.5265878676286829,0.4874048952008712,1.12,2.231710745477092,960.9173444794502,758.3340770510499,0.24,7.023988291621208e-06,1.0,1.0
adult,tree,7,3,covariate_shift,r1_all_mutable,rule_router,0.04,0.0,0.5265878676286829,0.4874048952008712,1.12,2.231710745477092,960.9173444794502,758.3340770510499,0.24,7.023988291621208e-06,1.0,1.0
