dataset,model_family,seed,depth,constraint,fixed_alpha,rule_ood_q75,safe_utility_threshold,exact_margin_q25,n_calibration_queries
adult,tree,7,3,r1_all_mutable,0.25,2.4294640870410276,3.786474567367104,989.673335174605,117
adult,tree,7,3,r1_immutable_only,0.25,2.4294640870410276,3.6578785918685286,990.776199953072,117
adult,tree,7,3,r1_structural,0.25,2.4294640870410276,3.7742303555308094,989.2528597285408,117
adult,tree,7,3,r2_realistic,0.25,2.4294640870410276,3.5813353792487144,989.2528597285408,117
adult,tree,13,3,r1_all_mutable,0.25,2.3545236157393736,1001.6547575610543,4.945946270426248,130
adult,tree,13,3,r1_immutable_only,0.25,2.3545236157393736,1001.6547575610543,4.689402542129216,130
adult,tree,13,3,r1_structural,0.25,2.3545236157393736,2.3432559040898266,2.9867766490206,130
adult,tree,13,3,r2_realistic,0.25,2.3545236157393736,2.3432559040898266,2.913768683774787,130
adult,tree,19,3,r1_all_mutable,0.25,2.369720647319307,4.279451975098073,7.869402172834498,169
adult,tree,19,3,r1_immutable_only,0.25,2.369720647319307,4.140156784244821,6.628742350552102,169
adult,tree,19,3,r1_structural,0.25,2.369720647319307,3.978228155402168,3.236012794706994,169
adult,tree,19,3,r2_realistic,0.25,2.369720647319307,3.9697822140370347,3.041977763270779,169
german,tree,7,3,r1_all_mutable,0.25,3.7827573983476115,10.652351707583227,987.0669878547651,158
german,tree,7,3,r1_immutable_only,0.25,3.7827573983476115,10.355654169914015,987.6159032307082,158
german,tree,7,3,r1_structural,1.0,3.7827573983476115,3.2007340021558144,0.0,158
german,tree,7,3,r2_realistic,1.0,3.7827573983476115,3.2007340021558144,0.0,158
german,tree,13,3,r1_all_mutable,0.25,3.884512572548464,10.1955752247853,11.348800183918513,93
german,tree,13,3,r1_immutable_only,0.25,3.884512572548464,1001.5097941523538,8.595413369428638,93
german,tree,13,3,r1_structural,1.0,3.884512572548464,3.120832704715228,0.0,93
german,tree,13,3,r2_realistic,1.0,3.884512572548464,3.120832704715228,0.0,93
german,tree,19,3,r1_all_mutable,0.25,3.7144511634243096,10.381117809951023,987.9242255842438,153
german,tree,19,3,r1_immutable_only,0.25,3.7144511634243096,10.078934234263292,988.1880619992179,153
german,tree,19,3,r1_structural,0.5,3.7144511634243096,3.1753654894990655,0.9955546180777359,153
german,tree,19,3,r2_realistic,0.5,3.7144511634243096,3.1753654894990655,0.9955546180777359,153
bank,tree,7,3,r1_all_mutable,0.25,2.6758861081894088,1001.3897850055475,4.055626219609558,122
bank,tree,7,3,r1_immutable_only,0.25,2.6758861081894088,1001.4068765823885,3.478336413001288,122
bank,tree,7,3,r1_structural,1.0,2.6758861081894088,1.7040077724064604,0.0,122
bank,tree,7,3,r2_realistic,1.0,2.6758861081894088,1.7040077724064604,0.0,122
bank,tree,13,3,r1_all_mutable,0.25,2.6365215977707837,1001.4129503138184,5.642348787347627,156
bank,tree,13,3,r1_immutable_only,0.9,2.6365215977707837,1001.4503683912418,0.7313200124264085,156
bank,tree,13,3,r1_structural,0.9,2.6365215977707837,3.1009539662922547,0.24081481350457645,156
bank,tree,13,3,r2_realistic,0.9,2.6365215977707837,3.1009539662922547,0.1857289218888365,156
bank,tree,19,3,r1_all_mutable,0.25,2.7372446989444965,1001.4190024691758,6.332055057649086,193
bank,tree,19,3,r1_immutable_only,0.9,2.7372446989444965,1001.8897134144635,0.8463306777502537,193
bank,tree,19,3,r1_structural,1.0,2.7372446989444965,5.0815524408101975,0.0,193
bank,tree,19,3,r2_realistic,1.0,2.7372446989444965,5.0815524408101975,0.0,193
compas,tree,7,3,r1_all_mutable,1.0,1.4804310061857695,1.9274867064054195,0.0,141
compas,tree,7,3,r1_immutable_only,1.0,1.4804310061857695,2.050025964401639,0.0,141
compas,tree,7,3,r1_structural,1.0,1.5364916721042854,2.636549216177681,0.0,78
compas,tree,7,3,r2_realistic,1.0,1.5364916721042854,2.636549216177681,0.0,78
compas,tree,13,3,r1_all_mutable,0.25,2.3919661800789673,2.922045965401536,1.5048803766600705,94
compas,tree,13,3,r1_immutable_only,1.0,2.2191513972060557,3.0387401307159596,0.0,70
compas,tree,13,3,r1_structural,1.0,2.2191513972060557,3.0387401307159596,0.0,70
compas,tree,13,3,r2_realistic,1.0,2.2191513972060557,3.0387401307159596,0.0,70
compas,tree,19,3,r1_all_mutable,0.9,1.39427792188228,2.3736861919005516,999.3455303185588,133
compas,tree,19,3,r1_immutable_only,0.9,1.39427792188228,2.957315476315533,999.6524398139446,49
compas,tree,19,3,r1_structural,0.9,1.39427792188228,2.8278564039320813,999.6815425755606,49
compas,tree,19,3,r2_realistic,0.9,1.39427792188228,2.8278564039320813,999.6815425755606,49
