query_id,dataset,seed,setting,constraint,subgroup,regret_fixed_blend,regret_utility_router_guarded,regret_delta,cost_l1_fixed_blend,cost_l1_utility_router_guarded,cost_delta,valid_fixed_blend,valid_utility_router_guarded,chosen_alpha_fixed_blend,chosen_alpha_utility_router_guarded
german|seed=19|depth=3|constraint=r2_realistic|setting=covariate_shift|row=93,german,19,covariate_shift,r2_realistic,A92,15.289958367434505,0.0,-15.289958367434505,16.58865008670528,2.0,-14.588650086705279,1.0,1.0,0.25,1.0
german|seed=19|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=0,german,19,exemplar_mismatch,r2_realistic,A93,14.819131839457746,0.0,-14.819131839457746,16.300293511572207,2.0,-14.300293511572207,1.0,1.0,0.25,1.0
german|seed=19|depth=3|constraint=r2_realistic|setting=in_domain|row=93,german,19,in_domain,r2_realistic,A92,14.616401313730496,0.0,-14.616401313730496,16.02438750267502,2.0,-14.024387502675019,1.0,1.0,0.25,1.0
german|seed=19|depth=3|constraint=r2_realistic|setting=covariate_shift|row=8,german,19,covariate_shift,r2_realistic,A93,13.672815047448356,0.0,-13.672815047448356,14.993812197811266,2.0,-12.993812197811266,1.0,1.0,0.25,1.0
german|seed=19|depth=3|constraint=r2_realistic|setting=covariate_shift|row=0,german,19,covariate_shift,r2_realistic,A93,13.520302481211518,0.0,-13.520302481211518,14.943851630737072,2.0,-12.943851630737072,1.0,1.0,0.25,1.0
german|seed=19|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=67,german,19,exemplar_mismatch,r2_realistic,A92,13.020121990946096,0.0,-13.020121990946096,14.448297253857747,2.0,-12.448297253857747,1.0,1.0,0.25,1.0
german|seed=19|depth=3|constraint=r2_realistic|setting=in_domain|row=0,german,19,in_domain,r2_realistic,A93,12.895145649385794,0.0,-12.895145649385794,14.343016557264058,2.0,-12.343016557264058,1.0,1.0,0.25,1.0
german|seed=19|depth=3|constraint=r2_realistic|setting=covariate_shift|row=86,german,19,covariate_shift,r2_realistic,A92,12.618684693916174,0.0,-12.618684693916174,14.088466868432429,2.0,-12.088466868432429,1.0,1.0,0.25,1.0
german|seed=19|depth=3|constraint=r2_realistic|setting=covariate_shift|row=20,german,19,covariate_shift,r2_realistic,A92,12.543016729580147,0.0,-12.543016729580147,13.942753128928215,2.0,-11.942753128928215,1.0,1.0,0.25,1.0
german|seed=19|depth=3|constraint=r2_realistic|setting=covariate_shift|row=14,german,19,covariate_shift,r2_realistic,A92,12.10331482002685,0.0,-12.10331482002685,13.643092517613724,2.0,-11.643092517613724,1.0,1.0,0.25,1.0
german|seed=19|depth=3|constraint=r2_realistic|setting=covariate_shift|row=40,german,19,covariate_shift,r2_realistic,A92,11.832036403486509,0.0,-11.832036403486509,13.090864167638475,2.0,-11.090864167638475,1.0,1.0,0.25,1.0
german|seed=19|depth=3|constraint=r2_realistic|setting=covariate_shift|row=95,german,19,covariate_shift,r2_realistic,A92,11.498232076647346,0.0,-11.498232076647346,12.988244952004544,2.0,-10.988244952004544,1.0,1.0,0.25,1.0
german|seed=19|depth=3|constraint=r2_realistic|setting=covariate_shift|row=9,german,19,covariate_shift,r2_realistic,A93,11.482240915550856,0.0,-11.482240915550856,12.982777893771535,2.0,-10.982777893771535,1.0,1.0,0.25,1.0
german|seed=19|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=76,german,19,exemplar_mismatch,r2_realistic,A93,11.417088431067022,0.0,-11.417088431067022,12.882881818011976,2.0,-10.882881818011976,1.0,1.0,0.25,1.0
german|seed=19|depth=3|constraint=r2_realistic|setting=covariate_shift|row=34,german,19,covariate_shift,r2_realistic,A93,11.17076830254447,0.0,-11.17076830254447,12.780289834596632,2.0,-10.780289834596632,1.0,1.0,0.25,1.0
