query_id,dataset,seed,setting,constraint,subgroup,regret_fixed_blend,regret_utility_router_guarded,regret_delta,cost_l1_fixed_blend,cost_l1_utility_router_guarded,cost_delta,valid_fixed_blend,valid_utility_router_guarded,chosen_alpha_fixed_blend,chosen_alpha_utility_router_guarded
adult|seed=13|depth=3|constraint=r1_all_mutable|setting=covariate_shift|row=1,adult,13,covariate_shift,r1_all_mutable,Female,3.1586471230773694,3.1586471230773694,0.0,4.213732248009464,4.213732248009464,0.0,1.0,1.0,0.25,0.25
adult|seed=13|depth=3|constraint=r1_all_mutable|setting=covariate_shift|row=10,adult,13,covariate_shift,r1_all_mutable,Female,4.6547794916618805,4.6547794916618805,0.0,5.996201285922373,5.996201285922373,0.0,1.0,1.0,0.25,0.25
adult|seed=13|depth=3|constraint=r1_all_mutable|setting=covariate_shift|row=100,adult,13,covariate_shift,r1_all_mutable,Male,4.054933235896982,4.054933235896982,0.0,4.242315022303095,4.242315022303095,0.0,1.0,1.0,0.25,0.25
adult|seed=13|depth=3|constraint=r1_all_mutable|setting=covariate_shift|row=101,adult,13,covariate_shift,r1_all_mutable,Male,5.107930552374924,5.107930552374924,0.0,6.5456084790004425,6.5456084790004425,0.0,1.0,1.0,0.25,0.25
adult|seed=13|depth=3|constraint=r1_all_mutable|setting=covariate_shift|row=102,adult,13,covariate_shift,r1_all_mutable,Male,3.6395887559676665,3.6395887559676665,0.0,4.776200267619176,4.776200267619176,0.0,1.0,1.0,0.25,0.25
adult|seed=13|depth=3|constraint=r1_all_mutable|setting=covariate_shift|row=104,adult,13,covariate_shift,r1_all_mutable,Female,6.220850154348851,6.220850154348851,0.0,7.894959216188129,7.894959216188129,0.0,1.0,1.0,0.25,0.25
adult|seed=13|depth=3|constraint=r1_all_mutable|setting=covariate_shift|row=105,adult,13,covariate_shift,r1_all_mutable,Male,2.726925208112232,2.726925208112232,0.0,2.9667358543756466,2.9667358543756466,0.0,1.0,1.0,0.25,0.25
adult|seed=13|depth=3|constraint=r1_all_mutable|setting=covariate_shift|row=106,adult,13,covariate_shift,r1_all_mutable,Male,4.682097153806531,4.682097153806531,0.0,6.00676602224676,6.00676602224676,0.0,1.0,1.0,0.25,0.25
adult|seed=13|depth=3|constraint=r1_all_mutable|setting=covariate_shift|row=109,adult,13,covariate_shift,r1_all_mutable,Female,3.560780396569525,3.560780396569525,0.0,4.647654511010563,4.647654511010563,0.0,1.0,1.0,0.25,0.25
adult|seed=13|depth=3|constraint=r1_all_mutable|setting=covariate_shift|row=111,adult,13,covariate_shift,r1_all_mutable,Male,4.783302004267071,4.783302004267071,0.0,6.144805060416255,6.144805060416255,0.0,1.0,1.0,0.25,0.25
adult|seed=13|depth=3|constraint=r1_all_mutable|setting=covariate_shift|row=112,adult,13,covariate_shift,r1_all_mutable,Female,4.094542949379472,4.094542949379472,0.0,5.274202952398145,5.274202952398145,0.0,1.0,1.0,0.25,0.25
adult|seed=13|depth=3|constraint=r1_all_mutable|setting=covariate_shift|row=113,adult,13,covariate_shift,r1_all_mutable,Female,4.116177753043659,4.116177753043659,0.0,5.252381383631513,5.252381383631513,0.0,1.0,1.0,0.25,0.25
adult|seed=13|depth=3|constraint=r1_all_mutable|setting=covariate_shift|row=117,adult,13,covariate_shift,r1_all_mutable,Male,5.583006756420758,5.583006756420758,0.0,7.055388234948888,7.055388234948888,0.0,1.0,1.0,0.25,0.25
adult|seed=13|depth=3|constraint=r1_all_mutable|setting=covariate_shift|row=118,adult,13,covariate_shift,r1_all_mutable,Female,4.5239637430413575,4.5239637430413575,0.0,5.848591214603717,5.848591214603717,0.0,1.0,1.0,0.25,0.25
adult|seed=13|depth=3|constraint=r1_all_mutable|setting=covariate_shift|row=119,adult,13,covariate_shift,r1_all_mutable,Female,4.68218450807761,4.68218450807761,0.0,6.020440345178895,6.020440345178895,0.0,1.0,1.0,0.25,0.25
