query_id,dataset,seed,depth,setting,constraint,subgroup,chosen_alpha_fixed_blend,chosen_alpha_utility_router_guarded,cost_l1_fixed_blend,cost_l1_utility_router_guarded,regret_fixed_blend,regret_utility_router_guarded,utility_fixed_blend,utility_utility_router_guarded,valid_fixed_blend,valid_utility_router_guarded,regret_delta,cost_delta,valid_delta
adult|seed=13|depth=3|constraint=r1_all_mutable|setting=covariate_shift|row=1,adult,13,3,covariate_shift,r1_all_mutable,Female,0.25,0.25,4.213732248009464,4.213732248009464,3.1586471230773694,3.1586471230773694,4.908876447810853,4.908876447810853,1.0,1.0,0.0,0.0,0.0
adult|seed=13|depth=3|constraint=r1_all_mutable|setting=covariate_shift|row=10,adult,13,3,covariate_shift,r1_all_mutable,Female,0.25,0.25,5.996201285922373,5.996201285922373,4.6547794916618805,4.6547794916618805,6.72764461755482,6.72764461755482,1.0,1.0,0.0,0.0,0.0
adult|seed=13|depth=3|constraint=r1_all_mutable|setting=covariate_shift|row=100,adult,13,3,covariate_shift,r1_all_mutable,Male,0.25,0.25,4.242315022303095,4.242315022303095,4.054933235896982,4.054933235896982,4.924344486961915,4.924344486961915,1.0,1.0,0.0,0.0,0.0
adult|seed=13|depth=3|constraint=r1_all_mutable|setting=covariate_shift|row=101,adult,13,3,covariate_shift,r1_all_mutable,Male,0.25,0.25,6.5456084790004425,6.5456084790004425,5.107930552374924,5.107930552374924,7.281816317972892,7.281816317972892,1.0,1.0,0.0,0.0,0.0
adult|seed=13|depth=3|constraint=r1_all_mutable|setting=covariate_shift|row=102,adult,13,3,covariate_shift,r1_all_mutable,Male,0.25,0.25,4.776200267619176,4.776200267619176,3.6395887559676665,3.6395887559676665,5.450381472057789,5.450381472057789,1.0,1.0,0.0,0.0,0.0
adult|seed=13|depth=3|constraint=r1_all_mutable|setting=covariate_shift|row=104,adult,13,3,covariate_shift,r1_all_mutable,Female,0.25,0.25,7.894959216188129,7.894959216188129,6.220850154348851,6.220850154348851,8.754561764072236,8.754561764072236,1.0,1.0,0.0,0.0,0.0
adult|seed=13|depth=3|constraint=r1_all_mutable|setting=covariate_shift|row=105,adult,13,3,covariate_shift,r1_all_mutable,Male,0.25,0.25,2.9667358543756466,2.9667358543756466,2.726925208112232,2.726925208112232,3.439381005511649,3.439381005511649,1.0,1.0,0.0,0.0,0.0
adult|seed=13|depth=3|constraint=r1_all_mutable|setting=covariate_shift|row=106,adult,13,3,covariate_shift,r1_all_mutable,Male,0.25,0.25,6.00676602224676,6.00676602224676,4.682097153806531,4.682097153806531,6.7360563222105565,6.7360563222105565,1.0,1.0,0.0,0.0,0.0
adult|seed=13|depth=3|constraint=r1_all_mutable|setting=covariate_shift|row=109,adult,13,3,covariate_shift,r1_all_mutable,Female,0.25,0.25,4.647654511010563,4.647654511010563,3.560780396569525,3.560780396569525,5.3194966735865385,5.3194966735865385,1.0,1.0,0.0,0.0,0.0
adult|seed=13|depth=3|constraint=r1_all_mutable|setting=covariate_shift|row=111,adult,13,3,covariate_shift,r1_all_mutable,Male,0.25,0.25,6.144805060416255,6.144805060416255,4.783302004267071,4.783302004267071,6.915952695891991,6.915952695891991,1.0,1.0,0.0,0.0,0.0
adult|seed=13|depth=3|constraint=r1_all_mutable|setting=covariate_shift|row=112,adult,13,3,covariate_shift,r1_all_mutable,Female,0.25,0.25,5.274202952398145,5.274202952398145,4.094542949379472,4.094542949379472,5.968768085728766,5.968768085728766,1.0,1.0,0.0,0.0,0.0
adult|seed=13|depth=3|constraint=r1_all_mutable|setting=covariate_shift|row=113,adult,13,3,covariate_shift,r1_all_mutable,Female,0.25,0.25,5.252381383631513,5.252381383631513,4.116177753043659,4.116177753043659,5.9216957377248445,5.9216957377248445,1.0,1.0,0.0,0.0,0.0
