dataset,seed,depth,setting,constraint,method,n_subgroups,valid_gap,cost_l1_gap,regret_gap,route_accuracy_gap
adult,7,3,covariate_shift,r1_all_mutable,fixed_blend,2,0.07499999999999996,0.5376361406974954,0.11999126683489614,0.125
adult,7,3,covariate_shift,r1_all_mutable,fixed_blend_no_repair,2,0.07499999999999996,0.5376361406974954,0.11999126683489614,0.125
adult,7,3,covariate_shift,r1_all_mutable,knn_mean_k5,2,0.0,0.8505614506449,75.32099252855862,
adult,7,3,covariate_shift,r1_all_mutable,learned_alpha,2,0.050000000000000044,0.16411325750711403,124.12275622353962,0.08750000000000002
adult,7,3,covariate_shift,r1_all_mutable,learned_router,2,0.07499999999999996,1.05049762527916,0.42976743234693937,0.11250000000000004
adult,7,3,covariate_shift,r1_all_mutable,learned_router_no_geometry,2,0.17500000000000004,2.0235363555745325,98.53686266495163,0.2
adult,7,3,covariate_shift,r1_all_mutable,learned_router_no_shift,2,0.07499999999999996,1.05049762527916,0.42976743234693937,0.11250000000000004
adult,7,3,covariate_shift,r1_all_mutable,nn_positive_train,2,0.0,0.7218129867891134,75.06848246586969,
adult,7,3,covariate_shift,r1_all_mutable,projection_only,2,0.09999999999999998,0.021158045521173285,174.2963990299013,0.23750000000000004
adult,7,3,covariate_shift,r1_all_mutable,rule_router,2,0.09999999999999998,0.021158045521173285,174.2963990299013,0.23750000000000004
adult,7,3,covariate_shift,r1_all_mutable,safe_router,2,0.07499999999999996,1.05049762527916,0.42976743234693937,0.11250000000000004
adult,7,3,covariate_shift,r1_all_mutable,utility_router,2,0.07499999999999996,0.4523548282285348,0.19974337210243664,0.03749999999999998
adult,7,3,covariate_shift,r1_all_mutable,utility_router_guarded,2,0.07499999999999996,0.4523548282285348,0.19974337210243664,0.03749999999999998
adult,7,3,covariate_shift,r1_all_mutable,utility_router_no_geometry,2,0.07499999999999996,0.30332089454942945,0.3832247887471487,0.2
adult,7,3,covariate_shift,r1_all_mutable,utility_router_no_shift,2,0.07499999999999996,0.4523548282285348,0.19974337210243664,0.03749999999999998
adult,7,3,covariate_shift,r2_realistic,fixed_blend,2,0.0,0.030999511256042167,0.0,0.050000000000000044
adult,7,3,covariate_shift,r2_realistic,fixed_blend_no_repair,2,0.0,0.030999511256042167,0.0,0.050000000000000044
adult,7,3,covariate_shift,r2_realistic,knn_mean_k5,2,0.0,0.27684965134204287,0.2719938739046146,
adult,7,3,covariate_shift,r2_realistic,learned_alpha,2,0.0,0.03321415298642072,0.04462134848496008,0.050000000000000044
adult,7,3,covariate_shift,r2_realistic,learned_router,2,0.0,0.030999511256042167,0.0,0.050000000000000044
adult,7,3,covariate_shift,r2_realistic,learned_router_no_geometry,2,0.0,0.030999511256042167,0.0,0.050000000000000044
adult,7,3,covariate_shift,r2_realistic,learned_router_no_shift,2,0.0,0.030999511256042167,0.0,0.050000000000000044
adult,7,3,covariate_shift,r2_realistic,nn_positive_train,2,0.0,1.0482063539998823,1.0527973845270848,
adult,7,3,covariate_shift,r2_realistic,projection_only,2,0.0,0.030999511256042167,0.0,0.050000000000000044
adult,7,3,covariate_shift,r2_realistic,rule_router,2,0.0,0.030999511256042167,0.0,0.050000000000000044
adult,7,3,covariate_shift,r2_realistic,safe_router,2,0.012499999999999956,0.005251518215824591,0.0028243983174878473,0.050000000000000044
adult,7,3,covariate_shift,r2_realistic,utility_router,2,0.0,0.030999511256042167,0.0,0.050000000000000044
adult,7,3,covariate_shift,r2_realistic,utility_router_guarded,2,0.0,0.030999511256042167,0.0,0.050000000000000044
adult,7,3,covariate_shift,r2_realistic,utility_router_no_geometry,2,0.0,0.030999511256042167,0.0,0.050000000000000044
adult,7,3,covariate_shift,r2_realistic,utility_router_no_shift,2,0.0,0.030999511256042167,0.0,0.050000000000000044
adult,7,3,exemplar_mismatch,r1_all_mutable,fixed_blend,2,0.06349206349206349,0.4332966603973345,0.44103538964527544,0.007936507936507936
adult,7,3,exemplar_mismatch,r1_all_mutable,fixed_blend_no_repair,2,0.06349206349206349,0.4332966603973345,0.44103538964527544,0.007936507936507936
adult,7,3,exemplar_mismatch,r1_all_mutable,knn_mean_k5,2,0.0,0.5113362710997738,62.894382046464415,
adult,7,3,exemplar_mismatch,r1_all_mutable,learned_alpha,2,0.05555555555555558,0.13166758643045773,7.830785173212469,0.09523809523809523
adult,7,3,exemplar_mismatch,r1_all_mutable,learned_router,2,0.06349206349206349,0.4419719764838712,0.4624433776467245,0.0
adult,7,3,exemplar_mismatch,r1_all_mutable,learned_router_no_geometry,2,0.11111111111111116,0.26196657251734745,47.3348412731133,0.06349206349206349
adult,7,3,exemplar_mismatch,r1_all_mutable,learned_router_no_shift,2,0.06349206349206349,0.19799682949285735,0.20151467640635712,0.047619047619047616
adult,7,3,exemplar_mismatch,r1_all_mutable,nn_positive_train,2,0.0,0.5769561099115172,62.89165916933041,
adult,7,3,exemplar_mismatch,r1_all_mutable,projection_only,2,0.007936507936507936,0.002318311854786037,55.59070670318829,0.055555555555555525
adult,7,3,exemplar_mismatch,r1_all_mutable,rule_router,2,0.007936507936507936,0.002318311854786037,55.59070670318829,0.055555555555555525
adult,7,3,exemplar_mismatch,r1_all_mutable,safe_router,2,0.06349206349206349,0.42205643446784524,0.22831134174182077,0.0
adult,7,3,exemplar_mismatch,r1_all_mutable,utility_router,2,0.06349206349206349,0.5608159857467827,0.5728459023581243,0.015873015873015872
adult,7,3,exemplar_mismatch,r1_all_mutable,utility_router_guarded,2,0.06349206349206349,0.5608159857467827,0.5728459023581243,0.015873015873015872
adult,7,3,exemplar_mismatch,r1_all_mutable,utility_router_no_geometry,2,0.06349206349206349,0.21505758520973028,0.21159783046902803,0.03968253968253968
adult,7,3,exemplar_mismatch,r1_all_mutable,utility_router_no_shift,2,0.06349206349206349,0.5608159857467827,0.5728459023581243,0.015873015873015872
adult,7,3,exemplar_mismatch,r2_realistic,fixed_blend,2,0.0,0.0795329493549699,0.0,0.007936507936507908
adult,7,3,exemplar_mismatch,r2_realistic,fixed_blend_no_repair,2,0.0,0.0795329493549699,0.0,0.007936507936507908
adult,7,3,exemplar_mismatch,r2_realistic,knn_mean_k5,2,0.0,0.4683978765683037,0.5959968307742942,
