dataset,seed,depth,setting,constraint,method,subgroup,valid,abstained,cost_l1,regret,route_accuracy
adult,7,3,covariate_shift,r1_all_mutable,fixed_blend,Female,0.875,0.0,5.364600374693187,4.118670987086343,0.125
adult,7,3,covariate_shift,r1_all_mutable,fixed_blend,Male,0.8,0.0,4.8269642339956915,4.238662253921239,0.0
adult,7,3,covariate_shift,r1_all_mutable,fixed_blend_no_repair,Female,0.875,0.0,5.364600374693187,4.118670987086343,0.125
adult,7,3,covariate_shift,r1_all_mutable,fixed_blend_no_repair,Male,0.8,0.0,4.8269642339956915,4.238662253921239,0.0
adult,7,3,covariate_shift,r1_all_mutable,knn_mean_k5,Female,1.0,0.0,7.780531197103688,-118.07790740510443,
adult,7,3,covariate_shift,r1_all_mutable,knn_mean_k5,Male,1.0,0.0,6.929969746458788,-193.39889993366305,
adult,7,3,covariate_shift,r1_all_mutable,learned_alpha,Female,0.75,0.0,0.9767748802108784,124.75899293444053,0.6875
adult,7,3,covariate_shift,r1_all_mutable,learned_alpha,Male,0.8,0.0,1.1408881377179925,0.6362367109009083,0.6
adult,7,3,covariate_shift,r1_all_mutable,learned_router,Female,0.875,0.0,3.6134295716568996,2.2308193657181223,0.4375
adult,7,3,covariate_shift,r1_all_mutable,learned_router,Male,0.8,0.0,2.5629319463777396,1.801051933371183,0.55
adult,7,3,covariate_shift,r1_all_mutable,learned_router_no_geometry,Female,0.875,0.0,4.920273582121255,3.628749514174583,0.25
adult,7,3,covariate_shift,r1_all_mutable,learned_router_no_geometry,Male,0.7,0.0,2.8967372265467226,102.16561217912621,0.45
adult,7,3,covariate_shift,r1_all_mutable,learned_router_no_shift,Female,0.875,0.0,3.6134295716568996,2.2308193657181223,0.4375
adult,7,3,covariate_shift,r1_all_mutable,learned_router_no_shift,Male,0.8,0.0,2.5629319463777396,1.801051933371183,0.55
adult,7,3,covariate_shift,r1_all_mutable,nn_positive_train,Female,1.0,0.0,7.0157830185580705,-119.25328341451956,
adult,7,3,covariate_shift,r1_all_mutable,nn_positive_train,Male,1.0,0.0,6.293970031768957,-194.32176588038925,
adult,7,3,covariate_shift,r1_all_mutable,projection_only,Female,0.25,0.0,0.4471048861970671,623.8231233572337,0.3125
adult,7,3,covariate_shift,r1_all_mutable,projection_only,Male,0.35,0.0,0.42594684067589383,449.52672432733243,0.55
adult,7,3,covariate_shift,r1_all_mutable,rule_router,Female,0.25,0.0,0.4471048861970671,623.8231233572337,0.3125
adult,7,3,covariate_shift,r1_all_mutable,rule_router,Male,0.35,0.0,0.42594684067589383,449.52672432733243,0.55
adult,7,3,covariate_shift,r1_all_mutable,safe_router,Female,0.875,0.0,3.6134295716568996,2.2308193657181223,0.4375
adult,7,3,covariate_shift,r1_all_mutable,safe_router,Male,0.8,0.0,2.5629319463777396,1.801051933371183,0.55
adult,7,3,covariate_shift,r1_all_mutable,utility_router,Female,0.875,0.0,4.057756364228831,2.7207408386298826,0.3125
adult,7,3,covariate_shift,r1_all_mutable,utility_router,Male,0.8,0.0,3.605401536000296,2.9204842107323192,0.35
