dataset,seed,depth,setting,constraint,method,valid,abstained,cost_l1,cost_l2,sparsity,plausibility,utility,regret,route_accuracy,runtime_sec,chosen_alpha,projection_route
adult,7,3,covariate_shift,r1_all_mutable,fixed_blend,0.8333333333333334,0.0,5.065913629861245,1.8169786786455022,9.555555555555555,1.5256984731603165,172.4392128452797,4.185332801994619,0.05555555555555555,9.963055102463882e-05,0.25,0.0
adult,7,3,covariate_shift,r1_all_mutable,fixed_blend_no_repair,0.8333333333333334,0.0,5.065913629861245,1.8169786786455022,9.555555555555555,1.5256984731603165,172.4392128452797,4.185332801994619,0.05555555555555555,1.3358331569987866e-05,0.25,0.0
adult,7,3,covariate_shift,r1_all_mutable,knn_mean_k5,1.0,0.0,7.307997057856521,2.107484022675001,16.36111111111111,1.3661611704624914,8.33097678898145,-159.92290325430366,,9.83327885882722e-07,0.0,0.0
adult,7,3,covariate_shift,r1_all_mutable,learned_alpha,0.7777777777777778,0.0,1.067948912159275,0.5302222559912686,9.277777777777779,2.0115077573328275,224.05578618687028,55.80190614358518,0.6388888888888888,0.00017700277061921666,0.8937279758832997,0.0
adult,7,3,covariate_shift,r1_all_mutable,learned_router,0.8333333333333334,0.0,3.029819779835144,1.173987324952429,5.694444444444445,1.7648737042801987,170.24593972436605,1.992059681080934,0.5,4.9222215440949766e-05,0.6041666666666666,0.4722222222222222
adult,7,3,covariate_shift,r1_all_mutable,learned_router_no_geometry,0.7777777777777778,0.0,3.7960867179131816,1.405713184896906,6.916666666666667,1.741258430131067,226.6253310379884,58.371450994703274,0.3611111111111111,6.216666790552926e-05,0.5208333333333334,0.3611111111111111
adult,7,3,covariate_shift,r1_all_mutable,learned_router_no_shift,0.8333333333333334,0.0,3.029819779835144,1.173987324952429,5.694444444444445,1.7648737042801987,170.24593972436605,1.992059681080934,0.5,4.9222215440949766e-05,0.6041666666666666,0.4722222222222222
adult,7,3,covariate_shift,r1_all_mutable,nn_positive_train,1.0,0.0,6.61477580367523,2.378428437108201,9.333333333333334,1.4296111825663398,7.295884147726848,-160.95799589555827,,9.500007662508223e-07,0.0,0.0
adult,7,3,covariate_shift,r1_all_mutable,projection_only,0.3055555555555556,0.0,0.435350416463082,0.435350416463082,1.0,2.1058383014783355,695.2456706061292,526.991790562844,0.4444444444444444,6.3860950629330346e-06,1.0,1.0
adult,7,3,covariate_shift,r1_all_mutable,rule_router,0.3055555555555556,0.0,0.435350416463082,0.435350416463082,1.0,2.1058383014783355,695.2456706061292,526.991790562844,0.4444444444444444,6.3860950629330346e-06,1.0,1.0
adult,7,3,covariate_shift,r1_all_mutable,safe_router,0.8333333333333334,0.0,3.029819779835144,1.173987324952429,5.694444444444445,1.7648737042801987,170.24593972436605,1.992059681080934,0.5,4.9222215440949766e-05,0.6041666666666666,0.4722222222222222
