dataset,model_family,seed,depth,setting,constraint,method,n_subgroups,valid_gap,cost_l1_gap,regret_gap,route_accuracy_gap
adult,logistic,7,3,covariate_shift,r1_all_mutable,fixed_blend,2,0.3095238095238095,1.8972933437944102,2.239172677133014,0.009523809523809518
adult,logistic,7,3,covariate_shift,r1_all_mutable,fixed_blend_no_repair,2,0.3095238095238095,1.8972933437944102,2.239172677133014,0.009523809523809518
adult,logistic,7,3,covariate_shift,r1_all_mutable,knn_mean_k5,2,0.0,2.9017759175592506,306.0824031833467,
adult,logistic,7,3,covariate_shift,r1_all_mutable,learned_alpha,2,0.26190476190476186,0.7027058263312642,46.58626278391006,0.009523809523809518
adult,logistic,7,3,covariate_shift,r1_all_mutable,learned_router,2,0.38095238095238093,0.8103088049533618,70.7847904434508,0.3714285714285714
adult,logistic,7,3,covariate_shift,r1_all_mutable,learned_router_no_geometry,2,0.3095238095238095,0.7604334206253482,0.598644913533404,0.4428571428571429
adult,logistic,7,3,covariate_shift,r1_all_mutable,learned_router_no_shift,2,0.3095238095238095,0.2351692600078703,0.46768104789657805,0.23333333333333334
adult,logistic,7,3,covariate_shift,r1_all_mutable,nn_positive_train,2,0.0,2.3722946712432558,306.81802841926776,
adult,logistic,7,3,covariate_shift,r1_all_mutable,projection_only,2,0.004761904761904759,0.4722893614478723,313.60366912359444,0.3142857142857143
adult,logistic,7,3,covariate_shift,r1_all_mutable,rule_router,2,0.004761904761904759,0.4722893614478723,313.60366912359444,0.3142857142857143
adult,logistic,7,3,covariate_shift,r1_all_mutable,safe_router,2,0.38095238095238093,1.542393873486787,70.28842356241535,0.3714285714285714
adult,logistic,7,3,covariate_shift,r1_all_mutable,utility_router,2,0.3095238095238095,1.538605183251371,1.861911032448511,0.08095238095238094
adult,logistic,7,3,covariate_shift,r1_all_mutable,utility_router_guarded,2,0.3095238095238095,1.538605183251371,1.861911032448511,0.08095238095238094
adult,logistic,7,3,covariate_shift,r1_all_mutable,utility_router_no_geometry,2,0.3095238095238095,1.538605183251371,1.861911032448511,0.08095238095238094
adult,logistic,7,3,covariate_shift,r1_all_mutable,utility_router_no_shift,2,0.3095238095238095,1.538605183251371,1.861911032448511,0.08095238095238094
adult,logistic,7,3,covariate_shift,r2_realistic,fixed_blend,2,0.24444444444444446,2.4417718268042536,223.67573373778353,0.1
adult,logistic,7,3,covariate_shift,r2_realistic,fixed_blend_no_repair,2,0.3555555555555556,2.2508867735100724,334.5829811926716,0.1
adult,logistic,7,3,covariate_shift,r2_realistic,knn_mean_k5,2,0.0,2.2915238575293895,20.883104322466238,
adult,logistic,7,3,covariate_shift,r2_realistic,learned_alpha,2,0.2666666666666666,1.2995601579594591,288.6537970808706,0.0888888888888889
adult,logistic,7,3,covariate_shift,r2_realistic,learned_router,2,0.26666666666666666,0.6377598122717396,243.95507173196808,0.15555555555555556
adult,logistic,7,3,covariate_shift,r2_realistic,learned_router_no_geometry,2,0.06666666666666671,1.1358890554958578,44.49809924151924,0.0444444444444444
adult,logistic,7,3,covariate_shift,r2_realistic,learned_router_no_shift,2,0.26666666666666666,0.6377598122717396,243.95507173196808,0.15555555555555556
adult,logistic,7,3,covariate_shift,r2_realistic,nn_positive_train,2,0.12222222222222223,2.249330512828245,101.2507329170363,
adult,logistic,7,3,covariate_shift,r2_realistic,projection_only,2,0.06666666666666671,1.2111111111111112,44.579351066863524,0.0444444444444444
adult,logistic,7,3,covariate_shift,r2_realistic,rule_router,2,0.06666666666666671,1.2111111111111112,44.579351066863524,0.0444444444444444
