dataset,model_family,seed,depth,setting,constraint,method,valid,abstained,cost_l1,cost_l2,sparsity,plausibility,utility,regret,route_accuracy,runtime_sec,chosen_alpha,projection_route
adult,logistic,7,3,covariate_shift,r1_all_mutable,fixed_blend,0.5172413793103449,0.0,5.216269148098573,1.8699381351885995,9.379310344827585,1.565529674032244,488.67868480609997,3.498182958218856,0.13793103448275862,0.0001103793158484944,0.25,0.0
adult,logistic,7,3,covariate_shift,r1_all_mutable,fixed_blend_no_repair,0.5172413793103449,0.0,5.216269148098573,1.8699381351885995,9.379310344827585,1.565529674032244,488.67868480609997,3.498182958218856,0.13793103448275862,1.321035308827614e-05,0.25,0.0
adult,logistic,7,3,covariate_shift,r1_all_mutable,knn_mean_k5,1.0,0.0,7.885112236038252,2.307805365358222,16.03448275862069,1.370261159388074,8.892375547877498,-476.28812630000357,,9.068954286390337e-07,0.0,0.0
adult,logistic,7,3,covariate_shift,r1_all_mutable,learned_alpha,0.20689655172413793,0.0,1.9202119381789415,0.8012794156186875,9.379310344827585,2.083333038653301,795.8051256870805,310.62462383919933,0.13793103448275862,0.00021471380224001818,0.7646706183840364,0.0
adult,logistic,7,3,covariate_shift,r1_all_mutable,learned_router,0.4827586206896552,0.0,3.536574950010416,1.4032981133687383,6.724137931034483,1.806793189387631,521.3851801353151,36.20467828743401,0.3793103448275862,7.543447909170184e-05,0.45689655172413796,0.27586206896551724
adult,logistic,7,3,covariate_shift,r1_all_mutable,learned_router_no_geometry,0.5172413793103449,0.0,3.560652721754974,1.416456983053344,6.655172413793103,1.8145287345896421,486.9242113422883,1.7437094944071467,0.41379310344827586,7.385861706630937e-05,0.45689655172413796,0.27586206896551724
adult,logistic,7,3,covariate_shift,r1_all_mutable,learned_router_no_shift,0.5172413793103449,0.0,3.7958597827800897,1.4689341173135226,7.172413793103448,1.8156902118224918,487.1854546938638,2.004952845982701,0.3793103448275862,7.83137872750903e-05,0.43103448275862066,0.2413793103448276
adult,logistic,7,3,covariate_shift,r1_all_mutable,nn_positive_train,1.0,0.0,6.760085938375484,2.445383580930439,9.03448275862069,1.4539501447846301,7.429902598024214,-477.75059924985686,,1.0069042187312553e-06,0.0,0.0
adult,logistic,7,3,covariate_shift,r1_all_mutable,projection_only,0.06896551724137931,0.0,0.5848187772678377,0.5080193181913248,1.0,2.34382338587156,932.0208750437693,446.8403731958881,0.5517241379310345,6.103438550028308e-06,1.0,1.0
adult,logistic,7,3,covariate_shift,r1_all_mutable,rule_router,0.06896551724137931,0.0,0.5848187772678377,0.5080193181913248,1.0,2.34382338587156,932.0208750437693,446.8403731958881,0.5517241379310345,6.103438550028308e-06,1.0,1.0
adult,logistic,7,3,covariate_shift,r1_all_mutable,safe_router,0.4827586206896552,0.20689655172413793,3.2891898952438603,1.329582189827411,6.086956521739131,1.9060307937293057,520.8300908902455,35.64958904236446,0.3793103448275862,0.0019266861972623858,0.45689655172413796,0.27586206896551724
