dataset,model_family,seed,depth,constraint,fixed_alpha,rule_ood_q75,safe_utility_threshold,exact_margin_q25,n_calibration_queries
adult,tree,7,3,r1_all_mutable,0.25,2.4977172416291773,3.309176698503405,992.3233776717301,106
adult,tree,7,3,r2_realistic,0.9,2.4977172416291773,3.9585924077249457,0.09051224802422786,106
adult,logistic,7,3,r1_all_mutable,0.25,2.444317832960577,1002.4742436646911,5.260885231363659,104
adult,logistic,7,3,r2_realistic,0.25,2.4977172416291773,306.13253709669965,4.876582693823786,59
adult,rf,7,3,r1_all_mutable,0.25,2.4977172416291773,1000.8534287305285,991.8555653576014,109
adult,rf,7,3,r2_realistic,0.25,2.4977172416291773,1002.8544991705697,4.115761023010258,109
adult,tree,13,3,r1_all_mutable,0.9,2.6058364218458347,3.1226726367966826,748.7042194401223,112
adult,tree,13,3,r2_realistic,1.0,2.6058364218458347,3.184820622659081,0.0,112
adult,logistic,13,3,r1_all_mutable,0.25,2.5153100390721153,1001.3509384279082,6.3240684578685205,115
adult,logistic,13,3,r2_realistic,0.25,2.5153100390721153,1002.9273349890219,2.8389266862501423,115
adult,rf,13,3,r1_all_mutable,0.25,2.645134943352897,9.735368097706298,992.4631052352574,108
adult,rf,13,3,r2_realistic,0.25,2.645134943352897,1000.8577182286002,3.3223643684685937,108
german,tree,7,3,r1_all_mutable,0.5,3.8201903330661198,1.710948581279626,5.667968659952925,117
german,tree,7,3,r2_realistic,1.0,3.8201903330661198,3.2180823090681825,0.0,117
german,logistic,7,3,r1_all_mutable,0.25,3.8373781750746874,14.00022694092426,13.137872263657968,104
german,logistic,7,3,r2_realistic,0.25,3.8373781750746874,14.7815871154389,8.627370271343137,104
german,rf,7,3,r1_all_mutable,0.25,3.8098276687011747,15.88099009434169,985.2922495335581,109
german,rf,7,3,r2_realistic,0.25,3.8098276687011747,18.906878674575267,11.82821534311256,109
german,tree,13,3,r1_all_mutable,0.5,3.7672941407691467,3.0439166507178186,0.0,101
german,tree,13,3,r2_realistic,1.0,3.7672941407691467,3.188425117842208,0.0,101
german,logistic,13,3,r1_all_mutable,0.25,3.864363192234504,1001.5079816832216,12.065496868034188,80
german,logistic,13,3,r2_realistic,0.25,3.864363192234504,17.486510807061606,7.651809543220023,80
german,rf,13,3,r1_all_mutable,0.25,3.830439524256226,11.964005367231067,11.1585228024135,96
german,rf,13,3,r2_realistic,0.25,3.830439524256226,13.4478314695388,7.73551289832485,96
bank,tree,7,3,r1_all_mutable,1.0,2.570611715151029,1.4698717930250256,0.0,75
bank,tree,7,3,r2_realistic,1.0,2.570611715151029,3.0499675733496137,0.0,75
bank,logistic,7,3,r1_all_mutable,0.25,2.535143592185684,1000.8833163486919,6.328334485580484,114
bank,logistic,7,3,r2_realistic,0.25,2.535143592185684,1000.8384194220861,3.0526818316751343,114
bank,rf,7,3,r1_all_mutable,0.25,2.5548051094201183,1001.1923350723954,7.235053724506173,124
bank,rf,7,3,r2_realistic,0.25,2.5548051094201183,1001.216413831688,4.0880035628541975,124
bank,tree,13,3,r1_all_mutable,1.0,2.687253704435817,1.4853662641306125,0.0,124
bank,tree,13,3,r2_realistic,1.0,2.687253704435817,3.047782621194453,0.0,124
bank,logistic,13,3,r1_all_mutable,0.25,2.6271104798131626,1000.9533572060797,5.997126491124504,121
bank,logistic,13,3,r2_realistic,0.25,2.6271104798131626,1000.905430478634,10.242768844050602,121
bank,rf,13,3,r1_all_mutable,0.25,2.6263318399451956,1000.8720344485084,7.279664039122167,125
bank,rf,13,3,r2_realistic,0.25,2.6263318399451956,1000.923524525677,5.324010352822269,125
compas,tree,7,3,r1_all_mutable,1.0,1.696175314654988,1.454043642912259,0.0,67
compas,tree,7,3,r2_realistic,1.0,1.696175314654988,2.190899600203596,0.0,67
compas,logistic,7,3,r1_all_mutable,0.25,1.5127180505609297,1001.1009244589968,1.4470066481380104,72
compas,logistic,7,3,r2_realistic,0.25,1.5127180505609297,6.399884164142571,0.12453604616927816,72
compas,rf,7,3,r1_all_mutable,0.25,1.4476485307451932,1000.6644813481836,1.6419363247970091,92
compas,rf,7,3,r2_realistic,0.25,1.4476485307451932,1000.7904923598948,0.07335771247265273,92
compas,tree,13,3,r1_all_mutable,0.9,1.2781188018792453,2.8056698332579906,0.07801949083097706,126
compas,tree,13,3,r2_realistic,1.0,1.2781188018792453,2.222918049337611,0.0,126
compas,logistic,13,3,r1_all_mutable,0.25,1.188792531395729,1001.4794170538595,0.9933552316628258,86
compas,logistic,13,3,r2_realistic,0.75,1.188792531395729,1001.063599452621,0.0664745759110022,86
compas,rf,13,3,r1_all_mutable,0.25,1.2199990499172555,1001.1724712123233,1.5001420196575594,97
compas,rf,13,3,r2_realistic,0.25,1.2199990499172555,1000.9661265667371,0.07249953678160637,97
