dataset,seed,depth,setting,constraint,method,n_subgroups,valid_gap,cost_l1_gap,regret_gap,route_accuracy_gap
adult,7,2,covariate_shift,r1_all_mutable,fixed_blend,2,0.07692307692307687,0.9204185498680024,1.1110614411600905,0.041958041958041925
adult,7,2,covariate_shift,r1_all_mutable,fixed_blend_no_repair,2,0.07692307692307687,0.9204185498680024,1.1110614411600905,0.041958041958041925
adult,7,2,covariate_shift,r1_all_mutable,knn_mean_k5,2,0.0,0.8431957323379651,75.79223076208326,
adult,7,2,covariate_shift,r1_all_mutable,learned_alpha,2,0.034965034965035,0.4332393588301242,41.376037439608524,0.034965034965035
adult,7,2,covariate_shift,r1_all_mutable,learned_router,2,0.07692307692307687,0.5097170566781406,0.6745394621764986,0.034965034965035
adult,7,2,covariate_shift,r1_all_mutable,learned_router_no_geometry,2,0.07692307692307687,0.5097170566781406,0.6745394621764986,0.034965034965035
adult,7,2,covariate_shift,r1_all_mutable,learned_router_no_shift,2,0.07692307692307687,0.5097170566781406,0.6745394621764986,0.034965034965035
adult,7,2,covariate_shift,r1_all_mutable,nn_positive_train,2,0.0,1.219421721493151,75.51341535820953,
adult,7,2,covariate_shift,r1_all_mutable,projection_only,2,0.0,0.023409034992563582,76.80423515934865,0.07692307692307693
adult,7,2,covariate_shift,r1_all_mutable,rule_router,2,0.0,0.023409034992563582,76.80423515934865,0.07692307692307693
adult,7,2,covariate_shift,r1_all_mutable,safe_router,2,0.14685314685314682,0.7605777114439047,76.32386306455294,0.034965034965035
adult,7,2,covariate_shift,r1_all_mutable,utility_router,2,0.07692307692307687,0.9204185498680024,1.1110614411600905,0.041958041958041925
adult,7,2,covariate_shift,r1_all_mutable,utility_router_no_geometry,2,0.07692307692307687,0.9204185498680024,1.1110614411600905,0.041958041958041925
adult,7,2,covariate_shift,r1_all_mutable,utility_router_no_shift,2,0.07692307692307687,0.9204185498680024,1.1110614411600905,0.041958041958041925
adult,7,2,covariate_shift,r2_realistic,fixed_blend,2,0.0,0.3136663995065323,1.1741844552007925,0.19580419580419578
adult,7,2,covariate_shift,r2_realistic,fixed_blend_no_repair,2,0.0,0.3136663995065323,1.1741844552007925,0.19580419580419578
adult,7,2,covariate_shift,r2_realistic,knn_mean_k5,2,0.0,0.5216769105744019,0.9660093448694673,
adult,7,2,covariate_shift,r2_realistic,learned_alpha,2,0.22377622377622386,0.4266203470738056,221.89760205793502,0.22377622377622386
adult,7,2,covariate_shift,r2_realistic,learned_router,2,0.0,1.6382295754687375,0.23619579305207483,0.02097902097902099
adult,7,2,covariate_shift,r2_realistic,learned_router_no_geometry,2,0.49650349650349657,0.8297262611259995,494.18596497317014,0.2167832167832168
adult,7,2,covariate_shift,r2_realistic,learned_router_no_shift,2,0.0,1.6382295754687375,0.23619579305207483,0.02097902097902099
adult,7,2,covariate_shift,r2_realistic,nn_positive_train,2,0.0,0.327372633705191,1.1666403029414623,
adult,7,2,covariate_shift,r2_realistic,projection_only,2,0.2167832167832168,0.4359842661096853,214.90075136819905,0.2167832167832168
adult,7,2,covariate_shift,r2_realistic,rule_router,2,0.2167832167832168,0.4359842661096853,214.90075136819905,0.2167832167832168
adult,7,2,covariate_shift,r2_realistic,safe_router,2,0.1608391608391609,0.7625359530295612,0.7837579105295195,0.16083916083916078
adult,7,2,covariate_shift,r2_realistic,utility_router,2,0.0,1.6382295754687375,0.23619579305207483,0.02097902097902099
adult,7,2,covariate_shift,r2_realistic,utility_router_no_geometry,2,0.09090909090909094,0.4524928655831095,88.92929401761812,0.19580419580419578
adult,7,2,covariate_shift,r2_realistic,utility_router_no_shift,2,0.0,1.6382295754687375,0.23619579305207483,0.02097902097902099
adult,7,2,exemplar_mismatch,r1_all_mutable,fixed_blend,2,0.07692307692307687,0.7672191199288854,0.05041562810716993,0.1048951048951049
adult,7,2,exemplar_mismatch,r1_all_mutable,fixed_blend_no_repair,2,0.07692307692307687,0.7672191199288854,0.05041562810716993,0.1048951048951049
adult,7,2,exemplar_mismatch,r1_all_mutable,knn_mean_k5,2,0.0,1.439100628417206,77.761999918958,
adult,7,2,exemplar_mismatch,r1_all_mutable,learned_alpha,2,0.027972027972027913,0.2935949379838996,103.84395346639485,0.027972027972027913
adult,7,2,exemplar_mismatch,r1_all_mutable,learned_router,2,0.07692307692307687,1.194140703914501,0.5051541577091383,0.02797202797202797
adult,7,2,exemplar_mismatch,r1_all_mutable,learned_router_no_geometry,2,0.07692307692307687,1.194140703914501,0.5051541577091383,0.02797202797202797
adult,7,2,exemplar_mismatch,r1_all_mutable,learned_router_no_shift,2,0.07692307692307687,1.194140703914501,0.5051541577091383,0.02797202797202797
adult,7,2,exemplar_mismatch,r1_all_mutable,nn_positive_train,2,0.0,1.061332062976363,77.29406523177272,
adult,7,2,exemplar_mismatch,r1_all_mutable,projection_only,2,0.0,0.07666695796411171,76.06375321920348,0.07692307692307693
adult,7,2,exemplar_mismatch,r1_all_mutable,rule_router,2,0.0,0.07666695796411171,76.06375321920348,0.07692307692307693
adult,7,2,exemplar_mismatch,r1_all_mutable,safe_router,2,0.13986013986013987,1.2404932179391701,76.45758535949504,0.02797202797202797
adult,7,2,exemplar_mismatch,r1_all_mutable,utility_router,2,0.07692307692307687,0.7672191199288854,0.05041562810716993,0.1048951048951049
adult,7,2,exemplar_mismatch,r1_all_mutable,utility_router_no_geometry,2,0.07692307692307687,0.7672191199288854,0.05041562810716993,0.1048951048951049
adult,7,2,exemplar_mismatch,r1_all_mutable,utility_router_no_shift,2,0.07692307692307687,0.7672191199288854,0.05041562810716993,0.1048951048951049
adult,7,2,exemplar_mismatch,r2_realistic,fixed_blend,2,0.0,0.08705579545687492,0.13441566014048068,0.06293706293706294
adult,7,2,exemplar_mismatch,r2_realistic,fixed_blend_no_repair,2,0.0,0.08705579545687492,0.13441566014048068,0.06293706293706294
adult,7,2,exemplar_mismatch,r2_realistic,knn_mean_k5,2,0.0,0.8420055181210584,0.8435977825419982,
adult,7,2,exemplar_mismatch,r2_realistic,learned_alpha,2,0.13286713286713292,0.4273154466253821,132.38319893251278,0.05594405594405594
