dataset,seed,depth,setting,constraint,method,subgroup,valid,abstained,cost_l1,regret,route_accuracy
adult,7,2,covariate_shift,r1_all_mutable,fixed_blend,Female,0.9230769230769231,0.0,5.895340332179801,3.8818511008345222,0.23076923076923078
adult,7,2,covariate_shift,r1_all_mutable,fixed_blend,Male,1.0,0.0,4.974921782311799,2.7707896596744317,0.2727272727272727
adult,7,2,covariate_shift,r1_all_mutable,fixed_blend_no_repair,Female,0.9230769230769231,0.0,5.895340332179801,3.8818511008345222,0.23076923076923078
adult,7,2,covariate_shift,r1_all_mutable,fixed_blend_no_repair,Male,1.0,0.0,4.974921782311799,2.7707896596744317,0.2727272727272727
adult,7,2,covariate_shift,r1_all_mutable,knn_mean_k5,Female,1.0,0.0,8.181928041194542,-70.32454594923318,
adult,7,2,covariate_shift,r1_all_mutable,knn_mean_k5,Male,1.0,0.0,7.338732308856577,5.467684812850083,
adult,7,2,covariate_shift,r1_all_mutable,learned_alpha,Female,0.6923076923076923,0.0,1.4743710082086343,230.3018541992579,0.6923076923076923
adult,7,2,covariate_shift,r1_all_mutable,learned_alpha,Male,0.7272727272727273,0.0,1.04113164937851,271.6778916388664,0.7272727272727273
adult,7,2,covariate_shift,r1_all_mutable,learned_router,Female,0.9230769230769231,0.0,5.484638838989939,3.4453291218509303,0.3076923076923077
adult,7,2,covariate_shift,r1_all_mutable,learned_router,Male,1.0,0.0,4.974921782311799,2.7707896596744317,0.2727272727272727
adult,7,2,covariate_shift,r1_all_mutable,learned_router_no_geometry,Female,0.9230769230769231,0.0,5.484638838989939,3.4453291218509303,0.3076923076923077
adult,7,2,covariate_shift,r1_all_mutable,learned_router_no_geometry,Male,1.0,0.0,4.974921782311799,2.7707896596744317,0.2727272727272727
adult,7,2,covariate_shift,r1_all_mutable,learned_router_no_shift,Female,0.9230769230769231,0.0,5.484638838989939,3.4453291218509303,0.3076923076923077
adult,7,2,covariate_shift,r1_all_mutable,learned_router_no_shift,Male,1.0,0.0,4.974921782311799,2.7707896596744317,0.2727272727272727
adult,7,2,covariate_shift,r1_all_mutable,nn_positive_train,Female,1.0,0.0,7.7073397087792905,-71.25664824485872,
adult,7,2,covariate_shift,r1_all_mutable,nn_positive_train,Male,1.0,0.0,6.487917987286139,4.256767113350802,
adult,7,2,covariate_shift,r1_all_mutable,projection_only,Female,0.0,0.0,0.45934220238133716,921.1583948479581,0.07692307692307693
adult,7,2,covariate_shift,r1_all_mutable,projection_only,Male,0.0,0.0,0.4359331673887736,997.9626300073068,0.0
adult,7,2,covariate_shift,r1_all_mutable,rule_router,Female,0.0,0.0,0.45934220238133716,921.1583948479581,0.07692307692307693
adult,7,2,covariate_shift,r1_all_mutable,rule_router,Male,0.0,0.0,0.4359331673887736,997.9626300073068,0.0
adult,7,2,covariate_shift,r1_all_mutable,safe_router,Female,0.3076923076923077,0.6923076923076923,4.279635892645507,-74.28289005043983,0.3076923076923077
adult,7,2,covariate_shift,r1_all_mutable,safe_router,Male,0.45454545454545453,0.5454545454545454,3.519058181201602,2.0409730141131077,0.2727272727272727
adult,7,2,covariate_shift,r1_all_mutable,utility_router,Female,0.9230769230769231,0.0,5.895340332179801,3.8818511008345222,0.23076923076923078
adult,7,2,covariate_shift,r1_all_mutable,utility_router,Male,1.0,0.0,4.974921782311799,2.7707896596744317,0.2727272727272727
adult,7,2,covariate_shift,r1_all_mutable,utility_router_no_geometry,Female,0.9230769230769231,0.0,5.895340332179801,3.8818511008345222,0.23076923076923078
adult,7,2,covariate_shift,r1_all_mutable,utility_router_no_geometry,Male,1.0,0.0,4.974921782311799,2.7707896596744317,0.2727272727272727
adult,7,2,covariate_shift,r1_all_mutable,utility_router_no_shift,Female,0.9230769230769231,0.0,5.895340332179801,3.8818511008345222,0.23076923076923078
adult,7,2,covariate_shift,r1_all_mutable,utility_router_no_shift,Male,1.0,0.0,4.974921782311799,2.7707896596744317,0.2727272727272727
adult,7,2,covariate_shift,r2_realistic,fixed_blend,Female,1.0,0.0,5.280421239830205,3.548388066689343,0.07692307692307693
adult,7,2,covariate_shift,r2_realistic,fixed_blend,Male,1.0,0.0,5.594087639336737,2.3742036114885505,0.2727272727272727
adult,7,2,covariate_shift,r2_realistic,fixed_blend_no_repair,Female,1.0,0.0,5.280421239830205,3.548388066689343,0.07692307692307693
adult,7,2,covariate_shift,r2_realistic,fixed_blend_no_repair,Male,1.0,0.0,5.594087639336737,2.3742036114885505,0.2727272727272727
adult,7,2,covariate_shift,r2_realistic,knn_mean_k5,Female,1.0,0.0,5.867233247378852,4.149246726083979,
adult,7,2,covariate_shift,r2_realistic,knn_mean_k5,Male,1.0,0.0,6.388910157953254,3.183237381214512,
adult,7,2,covariate_shift,r2_realistic,learned_alpha,Female,0.7692307692307693,0.0,1.199344493269153,230.12280447713633,0.7692307692307693
adult,7,2,covariate_shift,r2_realistic,learned_alpha,Male,0.5454545454545454,0.0,0.7727241461953475,452.02040653507134,0.5454545454545454
adult,7,2,covariate_shift,r2_realistic,learned_router,Female,1.0,0.0,3.5928917604703683,1.7591849381667057,0.38461538461538464
adult,7,2,covariate_shift,r2_realistic,learned_router,Male,1.0,0.0,5.231121335939106,1.9953807312187806,0.36363636363636365
adult,7,2,covariate_shift,r2_realistic,learned_router_no_geometry,Female,0.7692307692307693,0.0,2.571714598301764,231.4433096384981,0.3076923076923077
adult,7,2,covariate_shift,r2_realistic,learned_router_no_geometry,Male,0.2727272727272727,0.0,1.7419883371757647,725.6292746116683,0.09090909090909091
adult,7,2,covariate_shift,r2_realistic,learned_router_no_shift,Female,1.0,0.0,3.5928917604703683,1.7591849381667057,0.38461538461538464
adult,7,2,covariate_shift,r2_realistic,learned_router_no_shift,Male,1.0,0.0,5.231121335939106,1.9953807312187806,0.36363636363636365
adult,7,2,covariate_shift,r2_realistic,nn_positive_train,Female,1.0,0.0,5.594431037790499,3.860113983002463,
adult,7,2,covariate_shift,r2_realistic,nn_positive_train,Male,1.0,0.0,5.92180367149569,2.693473680061001,
adult,7,2,covariate_shift,r2_realistic,projection_only,Female,0.3076923076923077,0.0,1.1076226151800954,691.4210048313839,0.3076923076923077
adult,7,2,covariate_shift,r2_realistic,projection_only,Male,0.09090909090909091,0.0,0.6716383490704101,906.321756199583,0.09090909090909091
adult,7,2,covariate_shift,r2_realistic,rule_router,Female,0.3076923076923077,0.0,1.1076226151800954,691.4210048313839,0.3076923076923077
adult,7,2,covariate_shift,r2_realistic,rule_router,Male,0.09090909090909091,0.0,0.6716383490704101,906.321756199583,0.09090909090909091
adult,7,2,covariate_shift,r2_realistic,safe_router,Female,0.6153846153846154,0.38461538461538464,2.5825549720132157,1.4552723172165105,0.38461538461538464
adult,7,2,covariate_shift,r2_realistic,safe_router,Male,0.45454545454545453,0.5454545454545454,3.345090925042777,0.671514406686991,0.5454545454545454
adult,7,2,covariate_shift,r2_realistic,utility_router,Female,1.0,0.0,3.5928917604703683,1.7591849381667057,0.38461538461538464
adult,7,2,covariate_shift,r2_realistic,utility_router,Male,1.0,0.0,5.231121335939106,1.9953807312187806,0.36363636363636365
adult,7,2,covariate_shift,r2_realistic,utility_router_no_geometry,Female,1.0,0.0,5.280421239830205,3.548388066689343,0.07692307692307693
adult,7,2,covariate_shift,r2_realistic,utility_router_no_geometry,Male,0.9090909090909091,0.0,4.8279283742470955,92.47768208430746,0.2727272727272727
adult,7,2,covariate_shift,r2_realistic,utility_router_no_shift,Female,1.0,0.0,3.5928917604703683,1.7591849381667057,0.38461538461538464
adult,7,2,covariate_shift,r2_realistic,utility_router_no_shift,Male,1.0,0.0,5.231121335939106,1.9953807312187806,0.36363636363636365
adult,7,2,exemplar_mismatch,r1_all_mutable,fixed_blend,Female,0.9230769230769231,0.0,5.933977632540938,4.457048772925429,0.07692307692307693
adult,7,2,exemplar_mismatch,r1_all_mutable,fixed_blend,Male,1.0,0.0,6.701196752469824,4.507464401032599,0.18181818181818182
adult,7,2,exemplar_mismatch,r1_all_mutable,fixed_blend_no_repair,Female,0.9230769230769231,0.0,5.933977632540938,4.457048772925429,0.07692307692307693
adult,7,2,exemplar_mismatch,r1_all_mutable,fixed_blend_no_repair,Male,1.0,0.0,6.701196752469824,4.507464401032599,0.18181818181818182
adult,7,2,exemplar_mismatch,r1_all_mutable,knn_mean_k5,Female,1.0,0.0,8.574242360609961,-69.57960386371988,
adult,7,2,exemplar_mismatch,r1_all_mutable,knn_mean_k5,Male,1.0,0.0,10.013342989027167,8.182396055238117,
adult,7,2,exemplar_mismatch,r1_all_mutable,learned_alpha,Female,0.8461538461538461,0.0,1.4321637356366645,76.96125199557221,0.8461538461538461
adult,7,2,exemplar_mismatch,r1_all_mutable,learned_alpha,Male,0.8181818181818182,0.0,1.138568797652765,180.80520546196706,0.8181818181818182
adult,7,2,exemplar_mismatch,r1_all_mutable,learned_router,Female,0.9230769230769231,0.0,5.507056048555323,4.0023102433234605,0.15384615384615385
adult,7,2,exemplar_mismatch,r1_all_mutable,learned_router,Male,1.0,0.0,6.701196752469824,4.507464401032599,0.18181818181818182
adult,7,2,exemplar_mismatch,r1_all_mutable,learned_router_no_geometry,Female,0.9230769230769231,0.0,5.507056048555323,4.0023102433234605,0.15384615384615385
adult,7,2,exemplar_mismatch,r1_all_mutable,learned_router_no_geometry,Male,1.0,0.0,6.701196752469824,4.507464401032599,0.18181818181818182
adult,7,2,exemplar_mismatch,r1_all_mutable,learned_router_no_shift,Female,0.9230769230769231,0.0,5.507056048555323,4.0023102433234605,0.15384615384615385
adult,7,2,exemplar_mismatch,r1_all_mutable,learned_router_no_shift,Male,1.0,0.0,6.701196752469824,4.507464401032599,0.18181818181818182
adult,7,2,exemplar_mismatch,r1_all_mutable,nn_positive_train,Female,1.0,0.0,7.7896896436127525,-70.64622672817138,
adult,7,2,exemplar_mismatch,r1_all_mutable,nn_positive_train,Male,1.0,0.0,8.851021706589115,6.647838503601341,
adult,7,2,exemplar_mismatch,r1_all_mutable,projection_only,Female,0.0,0.0,0.36684159932549026,921.6670675162794,0.07692307692307693
adult,7,2,exemplar_mismatch,r1_all_mutable,projection_only,Male,0.0,0.0,0.29017464136137855,997.7308207354829,0.0
adult,7,2,exemplar_mismatch,r1_all_mutable,rule_router,Female,0.0,0.0,0.36684159932549026,921.6670675162794,0.07692307692307693
adult,7,2,exemplar_mismatch,r1_all_mutable,rule_router,Male,0.0,0.0,0.29017464136137855,997.7308207354829,0.0
adult,7,2,exemplar_mismatch,r1_all_mutable,safe_router,Female,0.23076923076923078,0.7692307692307693,3.7106349075206233,-73.77950156023894,0.15384615384615385
adult,7,2,exemplar_mismatch,r1_all_mutable,safe_router,Male,0.09090909090909091,0.9090909090909091,4.951128125459793,2.6780837992561044,0.18181818181818182
adult,7,2,exemplar_mismatch,r1_all_mutable,utility_router,Female,0.9230769230769231,0.0,5.933977632540938,4.457048772925429,0.07692307692307693
adult,7,2,exemplar_mismatch,r1_all_mutable,utility_router,Male,1.0,0.0,6.701196752469824,4.507464401032599,0.18181818181818182
adult,7,2,exemplar_mismatch,r1_all_mutable,utility_router_no_geometry,Female,0.9230769230769231,0.0,5.933977632540938,4.457048772925429,0.07692307692307693
adult,7,2,exemplar_mismatch,r1_all_mutable,utility_router_no_geometry,Male,1.0,0.0,6.701196752469824,4.507464401032599,0.18181818181818182
adult,7,2,exemplar_mismatch,r1_all_mutable,utility_router_no_shift,Female,0.9230769230769231,0.0,5.933977632540938,4.457048772925429,0.07692307692307693
adult,7,2,exemplar_mismatch,r1_all_mutable,utility_router_no_shift,Male,1.0,0.0,6.701196752469824,4.507464401032599,0.18181818181818182
adult,7,2,exemplar_mismatch,r2_realistic,fixed_blend,Female,1.0,0.0,5.080574950439696,3.3087377968223683,0.15384615384615385
