dataset,seed,depth,setting,constraint,method,valid,abstained,cost_l1,cost_l2,sparsity,plausibility,utility,regret,route_accuracy,runtime_sec,chosen_alpha,projection_route
adult,7,2,covariate_shift,r1_all_mutable,fixed_blend,0.9583333333333334,0.0,5.473481830156967,1.9221820453071115,9.625,1.5449800315890403,47.85314550156199,3.372614606969481,0.25,0.00011368751196035494,0.25,0.0
adult,7,2,covariate_shift,r1_all_mutable,fixed_blend_no_repair,0.9583333333333334,0.0,5.473481830156967,1.9221820453071115,9.625,1.5449800315890403,47.85314550156199,3.372614606969481,0.25,1.4654176387314996e-05,0.25,0.0
adult,7,2,covariate_shift,r1_all_mutable,knn_mean_k5,1.0,0.0,7.795463330539641,2.1512273027605553,17.416666666666668,1.5186269829411954,8.894090711314155,-35.586440183278356,,9.999930625781417e-07,0.0,0.0
adult,7,2,covariate_shift,r1_all_mutable,learned_alpha,0.7083333333333334,0.0,1.2758029687448273,0.5772520767061008,9.625,2.1512174550633,293.74640225367096,249.2658713590785,0.7083333333333334,0.00020638334778292725,0.8779166666666698,0.0
adult,7,2,covariate_shift,r1_all_mutable,learned_router,0.9583333333333334,0.0,5.251018521345792,1.856888000688416,9.25,1.5767393884450496,47.61669609627921,3.1361652016867017,0.2916666666666667,0.00010709168176011492,0.28125,0.041666666666666664
adult,7,2,covariate_shift,r1_all_mutable,learned_router_no_geometry,0.9583333333333334,0.0,5.251018521345792,1.856888000688416,9.25,1.5767393884450496,47.61669609627921,3.1361652016867017,0.2916666666666667,0.00010709168176011492,0.28125,0.041666666666666664
adult,7,2,covariate_shift,r1_all_mutable,learned_router_no_shift,0.9583333333333334,0.0,5.251018521345792,1.856888000688416,9.25,1.5767393884450496,47.61669609627921,3.1361652016867017,0.2916666666666667,0.00010709168176011492,0.28125,0.041666666666666664
adult,7,2,covariate_shift,r1_all_mutable,nn_positive_train,1.0,0.0,7.148438086428263,2.521040551001091,9.541666666666666,1.3911773498992446,7.834198022246483,-36.64633287234603,,1.1708422486359875e-06,0.0,0.0
adult,7,2,covariate_shift,r1_all_mutable,projection_only,0.0,0.0,0.4486130613430788,0.4486130613430788,1.0,2.2816919727267564,1000.8408668572521,956.3603359626595,0.041666666666666664,7.766677299514413e-06,1.0,1.0
adult,7,2,covariate_shift,r1_all_mutable,rule_router,0.0,0.0,0.4486130613430788,0.4486130613430788,1.0,2.2816919727267564,1000.8408668572521,956.3603359626595,0.041666666666666664,7.766677299514413e-06,1.0,1.0
adult,7,2,covariate_shift,r1_all_mutable,safe_router,0.375,0.625,3.8570927196211153,1.550119833402061,7.666666666666667,1.3051849003361566,5.179411415406105,-39.301119479186404,0.2916666666666667,0.00486690833834776,0.28125,0.041666666666666664
adult,7,2,covariate_shift,r1_all_mutable,utility_router,0.9583333333333334,0.0,5.473481830156967,1.9221820453071115,9.625,1.5449800315890403,47.85314550156199,3.372614606969481,0.25,0.00011368751196035494,0.25,0.0
adult,7,2,covariate_shift,r1_all_mutable,utility_router_no_geometry,0.9583333333333334,0.0,5.473481830156967,1.9221820453071115,9.625,1.5449800315890403,47.85314550156199,3.372614606969481,0.25,0.00011368751196035494,0.25,0.0
adult,7,2,covariate_shift,r1_all_mutable,utility_router_no_shift,0.9583333333333334,0.0,5.473481830156967,1.9221820453071115,9.625,1.5449800315890403,47.85314550156199,3.372614606969481,0.25,0.00011368751196035494,0.25,0.0
adult,7,2,covariate_shift,r2_realistic,fixed_blend,1.0,0.0,5.424185006270698,2.137168308289163,7.791666666666667,1.7311295107229305,6.0734377662124714,3.0102201913889797,0.16666666666666666,0.0002054208550058926,0.25,0.0
adult,7,2,covariate_shift,r2_realistic,fixed_blend_no_repair,1.0,0.0,5.424185006270698,2.137168308289163,7.791666666666667,1.7311295107229305,6.0734377662124714,3.0102201913889797,0.16666666666666666,0.00017388332344125956,0.25,0.0
adult,7,2,covariate_shift,r2_realistic,knn_mean_k5,1.0,0.0,6.106335164725453,2.260751433932407,8.083333333333334,1.7280545763345245,6.769710017842299,3.706492443018807,,9.66674027343591e-07,0.0,0.0
adult,7,2,covariate_shift,r2_realistic,learned_alpha,0.6666666666666666,0.0,1.0038101675269921,0.7776251237177415,4.208333333333333,2.2768632954646706,334.8890896618467,331.82587208702324,0.6666666666666666,0.00036159584124106914,0.9189062500000026,0.0
adult,7,2,covariate_shift,r2_realistic,learned_router,1.0,0.0,4.343746982560206,1.896975306234408,6.208333333333333,1.8433017927479511,4.930658918139065,1.8674413433155734,0.375,0.0001655958427969987,0.40625,0.20833333333333334
adult,7,2,covariate_shift,r2_realistic,learned_router_no_geometry,0.5416666666666666,0.0,2.191423395285681,1.1936787059032488,3.2083333333333335,2.155029538259576,461.0084278260246,457.9452102512011,0.20833333333333334,7.902083840842049e-05,0.71875,0.625
adult,7,2,covariate_shift,r2_realistic,learned_router_no_shift,1.0,0.0,4.343746982560206,1.896975306234408,6.208333333333333,1.8433017927479511,4.930658918139065,1.8674413433155734,0.375,0.0001655958427969987,0.40625,0.20833333333333334
adult,7,2,covariate_shift,r2_realistic,nn_positive_train,1.0,0.0,5.744476828238711,2.2227641058231957,7.75,1.7109639382604902,6.388621418977785,3.325403844154293,,1.1166703188791871e-06,0.0,0.0
adult,7,2,covariate_shift,r2_realistic,projection_only,0.20833333333333334,0.0,0.9077964932131564,0.7719911492186297,1.25,2.2895797116815193,792.980400116632,789.9171825418085,0.20833333333333334,7.612499757669866e-06,1.0,1.0
adult,7,2,covariate_shift,r2_realistic,rule_router,0.20833333333333334,0.0,0.9077964932131564,0.7719911492186297,1.25,2.2895797116815193,792.980400116632,789.9171825418085,0.20833333333333334,7.612499757669866e-06,1.0,1.0
adult,7,2,covariate_shift,r2_realistic,safe_router,0.5416666666666666,0.4583333333333333,2.875838030870739,1.5436857099474066,4.153846153846154,1.999026173375004,4.159267516380639,1.0960499415571474,0.4583333333333333,0.003649016667623073,0.40625,0.20833333333333334
adult,7,2,covariate_shift,r2_realistic,utility_router,1.0,0.0,4.343746982560206,1.896975306234408,6.208333333333333,1.8433017927479511,4.930658918139065,1.8674413433155734,0.375,0.0001655958427969987,0.40625,0.20833333333333334
