dataset,seed,depth,constraint,fixed_alpha,rule_ood_q75,safe_utility_threshold,n_calibration_queries
adult,7,2,r1_all_mutable,0.25,2.4410284713397354,5.625335991846844,87
adult,7,2,r2_realistic,0.25,2.4410284713397354,5.076220450339498,87
adult,7,3,r1_all_mutable,0.25,2.4294640870410276,3.786474567367104,117
adult,7,3,r2_realistic,0.25,2.4294640870410276,3.5813353792487144,117
adult,7,4,r1_all_mutable,0.25,2.4323551831157046,4.852388137320617,104
adult,7,4,r2_realistic,0.25,2.4323551831157046,3.745536111429471,104
adult,7,5,r1_all_mutable,0.25,2.4323551831157046,4.852388137320617,104
adult,7,5,r2_realistic,0.25,2.4323551831157046,3.745536111429471,104
german,7,2,r1_all_mutable,0.25,3.8206039507317655,11.219903329734716,139
german,7,2,r2_realistic,1.0,3.8206039507317655,3.2030246470300687,139
german,7,3,r1_all_mutable,0.25,3.7827573983476115,10.652351707583227,158
german,7,3,r2_realistic,1.0,3.7827573983476115,3.2007340021558144,158
german,7,4,r1_all_mutable,0.25,3.8025440121342795,9.690911124186231,124
german,7,4,r2_realistic,0.25,3.8025440121342795,7.559066709107899,124
german,7,5,r1_all_mutable,0.25,3.8025440121342795,9.690911124186231,124
german,7,5,r2_realistic,0.25,3.8025440121342795,7.559066709107899,124
bank,7,2,r1_all_mutable,0.25,2.64361375133136,1001.4027836701356,142
bank,7,2,r2_realistic,1.0,2.64361375133136,1.702258285208706,142
bank,7,3,r1_all_mutable,0.25,2.6758861081894088,1001.3897850055475,122
bank,7,3,r2_realistic,1.0,2.6758861081894088,1.7040077724064604,122
bank,7,4,r1_all_mutable,0.25,2.6758861081894088,1001.3897850055475,122
bank,7,4,r2_realistic,1.0,2.6758861081894088,1.7040077724064604,122
bank,7,5,r1_all_mutable,0.25,2.5944909474881275,1001.3708987187698,104
bank,7,5,r2_realistic,0.25,2.5944909474881275,1.7319664248046664,104
