dataset,seed,depth,setting,constraint,method,query_id,valid,cost_l1,cost_l2,sparsity,plausibility,utility,runtime_sec
adult,7,3,in_domain,r1_all_mutable,dice_random,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=4,1.0,6.183459138197648,4.453138591443106,2.0,3.375576368687805,6.789795593500818,0.0357186000328511
adult,7,3,in_domain,r1_all_mutable,dice_random,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=7,1.0,2.494712040997726,2.494712040997726,1.0,2.5918786212640788,2.9334938341873373,0.051809500087983906
adult,7,3,in_domain,r1_all_mutable,dice_random,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=9,1.0,6.409391927680886,4.551182050128086,2.0,3.4870759786647327,7.032453324480596,0.03678959992248565
adult,7,3,in_domain,r1_all_mutable,dice_random,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=10,1.0,3.6631413606651506,2.183126012294098,3.0,2.7053336741302383,4.218941411784686,0.049074399983510375
adult,7,3,in_domain,r1_all_mutable,dice_random,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=11,1.0,5.8071300583401255,4.061310044938319,3.0,3.389076478212071,6.465491530071937,0.0368041000328958
adult,7,3,in_domain,r1_all_mutable,dice_random,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=13,1.0,3.737866894022442,2.6590459236951562,2.0,2.2791990284680095,4.179746748292644,0.04684219998307526
adult,7,3,in_domain,r1_all_mutable,dice_random,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=14,1.0,5.88274443760024,4.800283618628422,2.0,2.9319744148382236,6.4225405998259735,0.05035290005616844
adult,7,3,in_domain,r1_all_mutable,dice_random,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=16,1.0,6.410237643477837,4.6427286062375295,2.0,3.799580636577228,7.080174738964421,0.051051000016741455
adult,7,3,in_domain,r1_all_mutable,dice_random,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=19,1.0,4.0,2.0,4.0,1.8177521759010304,4.472662826385155,0.0513552000047639
adult,7,3,in_domain,r1_all_mutable,dice_random,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=30,1.0,5.614620304968944,3.8814275658697768,3.0,3.5534789991284974,6.297642154838218,0.05012569995597005
adult,7,3,in_domain,r1_all_mutable,dice_random,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=33,1.0,2.494712040997726,2.494712040997726,1.0,2.5856651221649036,2.9325618093224612,0.04992449993733317
adult,7,3,in_domain,r1_all_mutable,dice_random,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=40,1.0,3.247356020498863,1.8857086312245483,3.0,2.1878314939891608,3.725530744597237,0.05112750001717359
adult,7,3,in_domain,r1_all_mutable,dice_random,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=42,1.0,7.568573693458526,5.492601381578844,2.0,4.536051748707364,8.34898145576463,0.04962540010455996
adult,7,3,in_domain,r1_all_mutable,dice_random,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=48,1.0,4.289919132753749,2.6914177740647554,3.0,2.2780045730003065,4.781619818703795,0.035898600006476045
adult,7,3,in_domain,r1_all_mutable,dice_random,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=56,1.0,2.13691773295903,1.729307155047673,2.0,2.2939657332165995,2.5810125929415197,0.04999560001306236
adult,7,3,in_domain,r1_all_mutable,dice_random,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=60,1.0,4.0,2.0,4.0,2.0661017118666267,4.509915256779994,0.04969909996725619
adult,7,3,in_domain,r1_all_mutable,dice_random,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=61,1.0,6.24343323292873,4.472887836993453,3.0,2.5589460902071397,6.777275146459801,0.04884250008035451
adult,7,3,in_domain,r1_all_mutable,dice_random,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=62,1.0,4.494712040997726,2.867679927659124,3.0,1.9912623995568748,4.943401400931258,0.038280699984170496
adult,7,3,in_domain,r1_all_mutable,dice_random,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=64,1.0,4.023833599257106,2.846857753905811,2.0,2.994528817202403,4.573012921837466,0.0363260000012815
adult,7,3,in_domain,r1_all_mutable,dice_random,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=70,1.0,5.839474628992209,4.091645809044921,3.0,4.566614433634496,6.674466794037383,0.0519892000593245
adult,7,3,covariate_shift,r1_all_mutable,dice_random,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=covariate_shift|row=4,1.0,3.5630709050593254,2.8034945654260297,2.0,2.3425340165435786,4.014451007540862,0.039167599985376
adult,7,3,covariate_shift,r1_all_mutable,dice_random,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=covariate_shift|row=7,1.0,3.7436681991564607,2.245078793439004,3.0,3.0039476775351317,4.344260350786731,0.057677000062540174
adult,7,3,covariate_shift,r1_all_mutable,dice_random,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=covariate_shift|row=9,1.0,5.406809559821611,3.6886788118365526,3.0,2.704476305457322,5.9624810056402096,0.04248900001402944
adult,7,3,covariate_shift,r1_all_mutable,dice_random,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=covariate_shift|row=11,1.0,0.9120975188238853,0.9120975188238853,1.0,2.2769508638574902,1.3036401484025089,0.0576805000891909
adult,7,3,covariate_shift,r1_all_mutable,dice_random,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=covariate_shift|row=13,1.0,2.0,1.4142135623730951,2.0,2.1021912220950787,2.4153286833142618,0.05860970006324351
