dataset,seed,depth,setting,constraint,method,valid,cost_l1,cost_l2,sparsity,plausibility,utility,runtime_sec
adult,7,3,covariate_shift,r1_all_mutable,dice_random,0.95,3.668204221704316,2.3667927765532903,2.789473684210526,2.619189397188229,53.99052849971842,0.04924631502362899
adult,7,3,covariate_shift,r2_realistic,dice_random,0.95,4.267628591942244,3.029975542725928,2.6315789473684212,2.910191342538346,54.59394942865684,0.051229435007553545
adult,7,3,exemplar_mismatch,r1_all_mutable,dice_random,1.0,4.629612630468864,3.1818324295647384,2.75,2.8996212316873704,5.20205581522197,0.04320812500081957
adult,7,3,exemplar_mismatch,r2_realistic,dice_random,1.0,4.427289563630925,2.9921108989947474,2.65,2.587445922226404,4.947906451964886,0.050692975003039466
adult,7,3,in_domain,r1_all_mutable,dice_random,1.0,4.727111796439734,3.314988638237454,2.5,2.8994949249708895,5.287036035185366,0.046081615012371915
adult,7,3,in_domain,r2_realistic,dice_random,1.0,4.236152141955764,3.0693190811686657,2.4,2.530348485774388,4.735704414821923,0.04837189998361282
adult,7,3,subgroup_shift,r1_all_mutable,dice_random,0.8888888888888888,4.390631167990875,2.7881909592555907,3.0625,2.7746429490361764,115.51995787586338,0.03998557778282298
adult,7,3,subgroup_shift,r2_realistic,dice_random,0.8888888888888888,5.201543004865407,3.5273873443044574,2.75,2.798522925942092,116.23006350556153,0.04016343332801221
adult,13,3,covariate_shift,r1_all_mutable,dice_random,1.0,3.962132216467663,2.45682822494988,3.2,2.5156335767943703,4.499477252986819,0.050475200009532276
adult,13,3,covariate_shift,r2_realistic,dice_random,1.0,3.7574069185570678,2.286320674814377,3.2,2.2245822942839455,4.2510942626996595,0.05560332000022754
adult,13,3,exemplar_mismatch,r1_all_mutable,dice_random,1.0,4.2963837463281696,2.826754075225266,3.05,2.5918228658112206,4.837657176199853,0.04369617999182083
adult,13,3,exemplar_mismatch,r2_realistic,dice_random,1.0,4.627541245170349,2.825699218716875,3.5,2.619045162512264,5.195398019547189,0.04888620999408886
adult,13,3,in_domain,r1_all_mutable,dice_random,1.0,4.351180551890006,2.6739265049244647,3.4,2.4748757466184044,4.892411913882767,0.046241315017687155
adult,13,3,in_domain,r2_realistic,dice_random,1.0,4.155724541385316,2.654249376882776,3.15,2.5860348462353793,4.701129768320624,0.046352685004239905
adult,13,3,subgroup_shift,r1_all_mutable,dice_random,1.0,4.388793228146748,2.800995137680464,3.25,2.942819319660358,4.992716126095802,0.04529999499209225
adult,13,3,subgroup_shift,r2_realistic,dice_random,1.0,4.391072911095263,2.944734071708744,3.0,2.6985359634937813,4.94585330561933,0.047263894992647694
adult,19,3,covariate_shift,r1_all_mutable,dice_random,1.0,5.022758361727271,3.4572953430743256,3.0,3.025287796795001,5.626551531246521,0.06542684499872849
adult,19,3,covariate_shift,r2_realistic,dice_random,1.0,6.043055421992337,4.69337401590333,2.65,3.7322905489586153,6.735399004336129,0.06760830502025783
adult,19,3,exemplar_mismatch,r1_all_mutable,dice_random,1.0,4.576168142380193,3.0170535396062386,3.1,2.5995688283631075,5.1211034666346595,0.06037726500071585
