dataset,constraint,method,utility,valid,cost_l1
adult,r1_all_mutable,dice_genetic,24.837429159938203,0.9831932773109243,7.514675336383782
adult,r1_all_mutable,dice_random,21.65417337333793,0.9831932773109243,4.371890190385429
adult,r1_all_mutable,fixed_blend,68.96115262504509,0.9369747899159664,5.2895803660292335
adult,r1_all_mutable,knn_mean_k5,8.552746038595147,1.0,7.612679309356236
adult,r1_all_mutable,nn_positive_train,7.595147123209158,1.0,6.967963926812774
adult,r1_all_mutable,utility_router_guarded,68.67311072008314,0.9369747899159664,5.01961851847256
adult,r2_realistic,dice_genetic,22.957431515274717,0.9831932773109243,5.68500460445208
adult,r2_realistic,dice_random,21.889407218418576,0.9831932773109243,4.609939285269254
adult,r2_realistic,fixed_blend,15.987611691543393,0.9873949579831933,2.915261253789826
adult,r2_realistic,knn_mean_k5,6.416610240678114,1.0,5.8119376910585165
adult,r2_realistic,nn_positive_train,39.60189305947062,0.9663865546218487,5.432155637417849
adult,r2_realistic,utility_router_guarded,15.55682060390154,0.9873949579831933,2.5026232619761184
bank,r1_all_mutable,dice_genetic,10.935609300972365,1.0,10.062185545673648
bank,r1_all_mutable,dice_random,5.310504303904279,1.0,4.685359611111697
bank,r1_all_mutable,fixed_blend,41.19267851308916,0.9658536585365853,6.233191537870996
bank,r1_all_mutable,knn_mean_k5,10.218806428413975,1.0,8.944581848548165
bank,r1_all_mutable,nn_positive_train,8.940057178308296,1.0,8.162686107913904
bank,r1_all_mutable,utility_router_guarded,39.710702139622505,0.9658536585365853,4.850301822445426
bank,r2_realistic,dice_genetic,8.661577523194152,1.0,7.877945670739975
bank,r2_realistic,dice_random,5.6203045704191705,1.0,4.975377999117012
bank,r2_realistic,fixed_blend,2.3211197561081014,1.0,1.7973598852653023
bank,r2_realistic,knn_mean_k5,7.19665593101975,1.0,6.449568033952254
bank,r2_realistic,nn_positive_train,7.042141483189229,1.0,6.341178082418479
bank,r2_realistic,utility_router_guarded,2.2395419828183494,1.0,1.754474627934201
german,r1_all_mutable,dice_genetic,16.74896078380759,1.0,15.529906620901018
german,r1_all_mutable,dice_random,4.296915346285068,1.0,3.599896833486454
german,r1_all_mutable,fixed_blend,23.32922379467381,0.9846153846153847,6.829545769396695
german,r1_all_mutable,knn_mean_k5,15.44581509254548,1.0,13.646045043799884
german,r1_all_mutable,nn_positive_train,13.711489417371364,1.0,12.658005227908571
german,r1_all_mutable,utility_router_guarded,22.558233474025283,0.9846153846153847,6.0996024100447555
german,r2_realistic,dice_genetic,14.133953185878894,1.0,12.998053581536556
german,r2_realistic,dice_random,4.367568904188784,1.0,3.666958575128261
german,r2_realistic,fixed_blend,5.136334928651984,1.0,4.406293055116918
german,r2_realistic,knn_mean_k5,11.588214800482739,1.0,10.553108436056613
german,r2_realistic,nn_positive_train,11.783902616021681,1.0,10.79440231075172
german,r2_realistic,utility_router_guarded,3.8042996268458102,1.0,3.1323410306392083
