dataset,seed,depth,setting,constraint,method,query_id,valid,cost_l1,cost_l2,sparsity,plausibility,utility,runtime_sec
adult,7,3,in_domain,r1_all_mutable,dice_genetic,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=4,1.0,3.3263187492145097,1.8873611616224861,4.0,1.0834496889918692,3.6888362025632904,0.08948640001472086
adult,7,3,in_domain,r1_all_mutable,dice_genetic,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=7,1.0,8.157925457431293,2.832832584199935,9.0,0.4688563144109148,8.67825390459293,0.11089719994924963
adult,7,3,in_domain,r1_all_mutable,dice_genetic,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=9,1.0,5.393715883761595,3.261086971857134,5.0,1.2723284584317658,5.83456515252636,0.09535309998318553
adult,7,3,in_domain,r1_all_mutable,dice_genetic,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=10,1.0,6.989496137763869,2.591611515349796,8.0,1.2819176416907347,7.581783784017479,0.11211989994626492
adult,7,3,in_domain,r1_all_mutable,dice_genetic,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=11,1.0,6.678912481243682,2.5003002800047356,8.0,0.9273550295723318,7.218015735679532,0.09282480005640537
adult,7,3,in_domain,r1_all_mutable,dice_genetic,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=13,1.0,6.415785340166288,2.4845276108542635,7.0,1.197418734707552,6.94539815037242,0.10257149999961257
adult,7,3,in_domain,r1_all_mutable,dice_genetic,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=14,1.0,8.315850914862587,2.8460080464432163,9.0,0.6205763041214375,8.858937360480802,0.11742519994731992
adult,7,3,in_domain,r1_all_mutable,dice_genetic,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=16,1.0,8.0,2.8284271247461903,8.0,0.4688563144109148,8.470328447161638,0.09931820002384484
adult,7,3,in_domain,r1_all_mutable,dice_genetic,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=19,1.0,8.884048590193485,2.9633666512639114,9.0,0.3513267811607975,9.386747607367605,0.09429400006774813
adult,7,3,in_domain,r1_all_mutable,dice_genetic,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=30,1.0,8.415785340166288,2.8588244872844495,9.0,1.6009435789839288,9.105926877013877,0.10015579999890178
adult,7,3,in_domain,r1_all_mutable,dice_genetic,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=33,1.0,8.170511382212537,2.7551304543258364,9.0,1.347719573634358,8.82266931825769,0.09619880001991987
adult,7,3,in_domain,r1_all_mutable,dice_genetic,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=40,1.0,6.917888103371273,2.509847053849549,9.0,1.9618407001037592,7.662164208386837,0.09517889993730932
adult,7,3,in_domain,r1_all_mutable,dice_genetic,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=42,1.0,8.0,2.8284271247461903,8.0,1.6608873433664275,8.649133101504965,0.11358370003290474
adult,7,3,in_domain,r1_all_mutable,dice_genetic,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=48,1.0,8.573710797597581,2.8631831759777575,10.0,1.1333633977912612,9.243715307266271,0.10436239989940077
adult,7,3,in_domain,r1_all_mutable,dice_genetic,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=56,1.0,5.43152043286061,2.216266167216708,7.0,1.1011539346756003,5.94669352306195,0.09262820007279515
adult,7,3,in_domain,r1_all_mutable,dice_genetic,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=60,1.0,6.23688818614694,2.460917717587483,7.0,1.6138362157242525,6.828963618505577,0.09787599998526275
adult,7,3,in_domain,r1_all_mutable,dice_genetic,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=61,1.0,6.265214577058046,2.4638057496247705,7.0,0.8940934395572013,6.749328592991626,0.09511450002901256
adult,7,3,in_domain,r1_all_mutable,dice_genetic,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=62,1.0,6.315850914862586,2.4697695844793968,7.0,1.691330945241051,6.919550556648743,0.10537489992566407
adult,7,3,in_domain,r1_all_mutable,dice_genetic,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=64,1.0,5.184440930734699,2.3244139731122937,5.0,2.294053732943131,5.7785489906761685,0.12724209995940328
adult,7,3,in_domain,r1_all_mutable,dice_genetic,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=70,1.0,6.848367504959328,2.5108084887531965,9.0,2.797219467331325,7.717950425059027,0.12094339996110648
adult,7,3,covariate_shift,r1_all_mutable,dice_genetic,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=covariate_shift|row=4,1.0,3.5265971070388473,1.6081004555232497,7.0,1.0834496889918692,4.0391145603876275,0.096516799996607
adult,7,3,covariate_shift,r1_all_mutable,dice_genetic,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=covariate_shift|row=7,1.0,9.863419718489489,3.0274325868115874,12.0,1.0429049876157355,10.619855466631849,0.11545290006324649
