dataset,seed,depth,setting,constraint,method,valid,cost_l1,cost_l2,sparsity,plausibility,utility,runtime_sec
adult,7,3,covariate_shift,r1_all_mutable,dice_genetic,0.95,7.912710739084684,2.6849052412839605,10.68421052631579,1.5607797416867757,58.24698631532082,0.10230406500049867
adult,7,3,covariate_shift,r2_realistic,dice_genetic,0.95,6.464578510856693,2.4114334301588096,8.157894736842104,1.6562874873914202,56.76487055226713,0.10359446498332545
adult,7,3,exemplar_mismatch,r1_all_mutable,dice_genetic,1.0,7.074311904655794,2.665389692310767,7.75,1.455412033116603,7.680123709623284,0.10157191000762396
adult,7,3,exemplar_mismatch,r2_realistic,dice_genetic,1.0,5.179938996847149,2.3020804785722877,5.25,1.702087116995298,5.697752064396444,0.13552412500139327
adult,7,3,in_domain,r1_all_mutable,dice_genetic,1.0,6.92611158623036,2.622845796164965,7.7,1.2884263798425306,7.50437554320674,0.10314744999050163
adult,7,3,in_domain,r2_realistic,dice_genetic,1.0,5.120308195873645,2.3492959411496255,5.0,1.7269050351060642,5.629343951139554,0.10878841999219731
adult,7,3,subgroup_shift,r1_all_mutable,dice_genetic,0.8888888888888888,8.299395606129778,2.849539684719736,9.0,1.300916480699776,119.0618071806531,0.08779311669059098
adult,7,3,subgroup_shift,r2_realistic,dice_genetic,0.8888888888888888,5.486566738323099,2.3294160439960017,5.5625,1.977255059170049,116.49891555306542,0.12355244444269273
adult,13,3,covariate_shift,r1_all_mutable,dice_genetic,1.0,7.888310544922365,2.633948131098692,10.7,1.4153821487483778,8.635617867234622,0.12708984999917447
adult,13,3,covariate_shift,r2_realistic,dice_genetic,1.0,6.098907282530124,2.336758819799137,7.8,1.8433547586635488,6.765410496329656,0.13019419001066126
adult,13,3,exemplar_mismatch,r1_all_mutable,dice_genetic,1.0,7.129236484440783,2.702976769587535,7.65,1.1939204985401342,7.690824559221802,0.12979368001106195
adult,13,3,exemplar_mismatch,r2_realistic,dice_genetic,1.0,5.502125030685645,2.330378931412111,5.65,1.6368917850140032,6.0301587984377445,0.13414750997908415
adult,13,3,in_domain,r1_all_mutable,dice_genetic,1.0,6.745576218786394,2.603628258605255,7.35,1.3046960084893304,7.3087806200597925,0.12831405997858383
adult,13,3,in_domain,r2_realistic,dice_genetic,1.0,5.461738845539832,2.307901190459684,5.65,1.6286442826081289,5.988535487931052,0.13420657000970096
adult,13,3,subgroup_shift,r1_all_mutable,dice_genetic,1.0,7.818096412801327,2.7972950591760712,8.45,1.5930290671795346,8.479550772878257,0.12987682500388473
adult,13,3,subgroup_shift,r2_realistic,dice_genetic,1.0,5.88140000480419,2.4128913224113684,6.0,1.7746958518939269,6.4476043825882785,0.13703725000377745
adult,19,3,covariate_shift,r1_all_mutable,dice_genetic,1.0,8.658577306940453,2.7973388152450047,11.4,1.6958438859751297,9.482953889836722,0.12762019498622976
adult,19,3,covariate_shift,r2_realistic,dice_genetic,1.0,6.212530550174991,2.3708123960238603,8.1,1.8439741176788729,6.8941266678268205,0.1295870100031607
adult,19,3,exemplar_mismatch,r1_all_mutable,dice_genetic,1.0,7.273911474489244,2.662364718190592,7.9,1.4850700672068538,7.891671984570273,0.13002241001231596
adult,19,3,exemplar_mismatch,r2_realistic,dice_genetic,1.0,5.501667140494517,2.320244787645728,5.6,1.6332921047146562,6.026660956201715,0.13570812498801388
adult,19,3,in_domain,r1_all_mutable,dice_genetic,1.0,7.353924683574003,2.665865201149942,8.0,1.3878851997426105,7.962107463535395,0.1306321649986785
adult,19,3,in_domain,r2_realistic,dice_genetic,1.0,5.712580164382748,2.3828543798149697,5.8,1.6178629832075313,6.245259611863878,0.12960920000914483
adult,19,3,subgroup_shift,r1_all_mutable,dice_genetic,0.95,7.260055928226585,2.639244135715391,8.105263157894736,1.7174363745535752,57.52678781518914,0.12452562500839122
adult,19,3,subgroup_shift,r2_realistic,dice_genetic,0.95,5.592373352404373,2.3446587452141303,5.7368421052631575,1.8907605631146638,55.85468806502799,0.14220723999897017
bank,7,3,covariate_shift,r1_all_mutable,dice_genetic,1.0,11.271413558810242,3.562557947714338,12.7,2.1779735877113815,12.23310959696695,0.14391897000023163
bank,7,3,covariate_shift,r2_realistic,dice_genetic,1.0,8.918898745927857,3.168929623276127,9.85,2.3151815159922955,9.7586759733267,0.14634332000277936
bank,7,3,exemplar_mismatch,r1_all_mutable,dice_genetic,1.0,10.551159230245304,3.4538761657097568,11.4,2.1610758253118068,11.445320604042076,0.14047548998496495
