dataset,constraint,method,valid,cost_l1,cost_l2,sparsity,plausibility,utility,runtime_sec
adult,r1_all_mutable,tree_milp_l1,1.0,1.9815767433320892,1.4020335751617565,1.9789915966386555,2.1062031958402248,2.396456802540056,0.12328865420329575
adult,r1_all_mutable,nn_positive_train,1.0,6.967963926812774,2.550914359918118,8.378151260504202,1.3885042224744955,7.595147123209158,9.579792376138083e-07
adult,r1_all_mutable,knn_mean_k5,1.0,7.612679309356236,2.335561562756922,14.869747899159664,1.3105288952061895,8.552746038595147,9.533593102413065e-07
adult,r1_all_mutable,dice_random,0.9831932773109243,4.371890190385429,2.842255767814481,3.047008547008547,2.7071498092375172,21.65417337333793,0.04924859244331416
adult,r1_all_mutable,dice_genetic,0.9831932773109243,7.514675336383782,2.691386845936239,8.713675213675213,1.45082938323327,24.837429159938203,0.11881613781667866
adult,r1_all_mutable,utility_router_guarded,0.9369747899159664,5.01961851847256,1.8436167011744102,7.936974789915967,1.5428891872078168,68.67311072008314,8.415126196742083e-05
adult,r1_all_mutable,fixed_blend,0.9369747899159664,5.2895803660292335,1.9357131840579533,8.38655462184874,1.5135629592654116,68.96115262504509,0.00010499748266340378
adult,r2_realistic,tree_milp_l1,1.0,2.010234708379684,1.4099248245752098,2.0168067226890756,2.1326823571041684,2.430977398079763,0.124813476891429
adult,r2_realistic,knn_mean_k5,1.0,5.8119376910585165,2.31551768510808,7.235294117647059,1.6193856249149665,6.416610240678114,1.0521039601509311e-06
adult,r2_realistic,utility_router_guarded,0.9873949579831933,2.5026232619761184,1.4674302697081578,2.8949579831932772,2.0293828397268965,15.55682060390154,5.486301887982788e-05
adult,r2_realistic,fixed_blend,0.9873949579831933,2.915261253789826,1.566655439875656,3.399159663865546,1.9823362516904433,15.987611691543393,7.371805772621998e-05
adult,r2_realistic,dice_random,0.9831932773109243,4.609939285269254,3.128872701271807,2.923076923076923,2.7564992943195388,21.889407218418576,0.053158217646815456
adult,r2_realistic,dice_genetic,0.9831932773109243,5.68500460445208,2.350003303341014,6.196581196581197,1.7401032248887907,22.957431515274717,0.12872279873763465
adult,r2_realistic,nn_positive_train,0.9663865546218487,5.432155637417849,2.274052478023409,6.0588235294117645,1.6890057828727831,39.60189305947062,9.54198674494479e-07
bank,r1_all_mutable,tree_milp_l1,1.0,1.8399747126448285,1.3027656517951345,1.9170731707317072,2.579977656450403,2.3228250196489744,0.06247171756425277
bank,r1_all_mutable,dice_random,1.0,4.685359611111697,3.105676056897729,3.180487804878049,3.107468683657863,5.310504303904279,0.06646791805013465
bank,r1_all_mutable,nn_positive_train,1.0,8.162686107913904,2.786884264167023,10.06341463414634,1.8280022579138206,8.940057178308296,1.0634181884730734e-06
bank,r1_all_mutable,knn_mean_k5,1.0,8.944581848548165,2.4075774535024306,20.13170731707317,1.7842614267476729,10.218806428413975,1.012683255461658e-06
bank,r1_all_mutable,dice_genetic,1.0,10.062185545673648,3.3641825547476456,11.08780487804878,2.1268900759751985,10.935609300972365,0.14288546536288152
bank,r1_all_mutable,utility_router_guarded,0.9658536585365853,4.850301822445426,1.6742780668615447,8.346341463414634,1.978278537278111,39.710702139622505,6.720439315114386e-05
bank,r1_all_mutable,fixed_blend,0.9658536585365853,6.233191537870996,2.107212086085781,10.634146341463415,1.8762546315358068,41.19267851308916,8.934000223056836e-05
bank,r2_realistic,utility_router_guarded,1.0,1.754474627934201,1.2422328214624352,1.9560975609756097,2.5817498455691177,2.2395419828183494,2.1994634099848245e-05
bank,r2_realistic,fixed_blend,1.0,1.7973598852653023,1.2435826703617225,2.7414634146341466,2.577911334073943,2.3211197561081014,0.0001060824438066217
bank,r2_realistic,tree_milp_l1,1.0,1.8399747126448285,1.3027656517951345,1.9170731707317072,2.579977656450403,2.3228250196489744,0.06116099170431854
bank,r2_realistic,dice_random,1.0,4.975377999117012,3.4235169574480953,3.102439024390244,3.26536413388431,5.6203045704191705,0.06757119951213184
bank,r2_realistic,nn_positive_train,1.0,6.341178082418479,2.4403037346006218,7.6536585365853655,2.1218698262765407,7.042141483189229,1.0243872544024048e-06
bank,r2_realistic,knn_mean_k5,1.0,6.449568033952254,2.391589477214384,8.565853658536586,2.125301427604443,7.19665593101975,1.0551226030035717e-06
bank,r2_realistic,dice_genetic,1.0,7.877945670739975,2.893067821072063,8.639024390243902,2.344537552946542,8.661577523194152,0.14538172536824895
german,r1_all_mutable,tree_milp_l1,1.0,1.6376635886710273,1.2201029439420412,1.7128205128205127,3.425555641047965,2.237137960469248,0.12420664769179447
german,r1_all_mutable,dice_random,1.0,3.599896833486454,2.123907765873274,3.1538461538461537,3.5955080340420413,4.296915346285068,0.07102270769432947
german,r1_all_mutable,nn_positive_train,1.0,12.658005227908571,3.580358366628083,13.815384615384616,2.4180997246237417,13.711489417371364,1.1184646819646541e-06
german,r1_all_mutable,knn_mean_k5,1.0,13.646045043799884,3.0278127469650755,28.98974358974359,2.335219128389446,15.44581509254548,8.774354146459164e-07
german,r1_all_mutable,dice_genetic,1.0,15.529906620901018,4.225374072775257,15.820512820512821,2.853523479206193,16.74896078380759,0.1778648220498162
german,r1_all_mutable,utility_router_guarded,0.9846153846153847,6.0996024100447555,1.7756356748387743,12.871794871794872,2.869506238502671,22.558233474025283,9.749281482816769e-05
german,r1_all_mutable,fixed_blend,0.9846153846153847,6.829545769396695,1.9772051283742793,13.902564102564103,2.79956290355682,23.32922379467381,0.00010373024926638226
german,r2_realistic,tree_milp_l1,1.0,1.6376635886710273,1.2201029439420412,1.7128205128205127,3.425555641047965,2.237137960469248,0.1217491953872526
german,r2_realistic,utility_router_guarded,1.0,3.1323410306392083,1.5087649151502924,3.5384615384615383,3.300236795223502,3.8042996268458102,5.3559998886124375e-05
german,r2_realistic,dice_random,1.0,3.666958575128261,2.1908168269025126,3.158974358974359,3.6177440740787024,4.367568904188784,0.07411062974029049
german,r2_realistic,fixed_blend,1.0,4.406293055116918,1.7736726246630654,4.9743589743589745,3.2088261654474515,5.136334928651984,9.019897343254866e-05
german,r2_realistic,knn_mean_k5,1.0,10.553108436056613,3.1649243144294865,12.456410256410257,2.748572344037419,11.588214800482739,8.517924027565198e-07
german,r2_realistic,nn_positive_train,1.0,10.79440231075172,3.3052588867476778,11.62051282051282,2.72316442829547,11.783902616021681,9.917958567921933e-07
german,r2_realistic,dice_genetic,1.0,12.998053581536556,3.813441072656352,13.512820512820513,3.068390524675412,14.133953185878894,0.17098384512922699
