dataset,constraint,query_id,utility_guarded,valid_guarded,utility_tree_milp,valid_tree_milp,milp_better,guarded_better,tie
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=4,1003.044064383107,0.0,2.324356179672243,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=7,5.833766045760711,1.0,2.411789102905487,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=9,6.681720510964691,1.0,2.5052435768216217,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=10,0.5716090645340405,1.0,2.432935715639627,1.0,0,1,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=11,4.642422163452777,1.0,2.366199746385018,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=13,4.735288826216771,1.0,2.3964969976084958,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=14,1000.85573472128,0.0,2.411831596213385,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=16,4.8427670403848015,1.0,2.4043629295144524,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=19,6.392627269717727,1.0,2.432639547446648,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=30,4.857241759839967,1.0,2.403466381955783,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=33,3.800653810185649,1.0,2.388495231276316,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=40,6.05872170443138,1.0,2.4454109744811183,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=42,5.159440808884706,1.0,2.410826665916956,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=48,4.5749645712646565,1.0,2.375667906870239,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=56,0.5392709772870727,1.0,2.392034168620985,1.0,0,1,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=60,1003.7747880709948,0.0,2.392369022888491,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=61,1003.7129046212016,0.0,2.399309857127353,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=62,4.817462443873594,1.0,2.4076819092086037,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=64,5.374343091719245,1.0,2.417788641224244,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=70,7.052691023790586,1.0,2.470532947527815,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=covariate_shift|row=4,0.5899516206778115,1.0,2.3679558119312003,1.0,0,1,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=covariate_shift|row=7,6.6518150566101655,1.0,2.423990255520834,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=covariate_shift|row=9,6.926929383390298,1.0,2.471671043291396,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=covariate_shift|row=11,0.6692849104655114,1.0,2.394471499313344,1.0,0,1,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=covariate_shift|row=13,5.49305011768245,1.0,2.4153286921373582,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=covariate_shift|row=14,0.6700862922201776,1.0,2.455656706756808,1.0,0,1,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=covariate_shift|row=16,1005.404614138234,0.0,2.425828658742903,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=covariate_shift|row=19,0.6495905818381837,1.0,2.444737471832193,1.0,0,1,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=covariate_shift|row=30,5.659852857889919,1.0,2.410720042907445,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=covariate_shift|row=33,0.5982189652161893,1.0,2.4244024963816884,1.0,0,1,0
