dataset,seed,depth,setting,constraint,method,query_id,valid,cost_l1,cost_l2,sparsity,plausibility,utility,runtime_sec
adult,7,3,in_domain,r1_all_mutable,tree_milp_l1,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=4,1.0,2.0000000120589174,1.4142135623730951,2.0,1.495707784088837,2.324356179672243,0.12123910000082105
adult,7,3,in_domain,r1_all_mutable,tree_milp_l1,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=7,1.0,2.0000000165190843,1.4142135623730951,2.0,2.0785939092426835,2.411789102905487,0.12922820006497204
adult,7,3,in_domain,r1_all_mutable,tree_milp_l1,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=9,1.0,2.0000000646206946,1.4142135623730958,2.0,2.7016234146728477,2.5052435768216217,0.1290838000131771
adult,7,3,in_domain,r1_all_mutable,tree_milp_l1,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=10,1.0,2.000000016819938,1.4142135623730951,2.0,2.219571325464595,2.432935715639627,0.12267179996706545
adult,7,3,in_domain,r1_all_mutable,tree_milp_l1,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=11,1.0,2.0000000523712695,1.4142135623730956,2.0,1.774664626758323,2.366199746385018,0.12671980005688965
adult,7,3,in_domain,r1_all_mutable,tree_milp_l1,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=13,1.0,2.0000000156719,1.4142135623730951,2.0,1.9766465462439669,2.3964969976084953,0.12345600000116974
adult,7,3,in_domain,r1_all_mutable,tree_milp_l1,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=14,1.0,2.0000000163527965,1.4142135623730951,2.0,2.078877199070591,2.411831596213385,0.1235870000673458
adult,7,3,in_domain,r1_all_mutable,tree_milp_l1,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=16,1.0,2.0000000139503773,1.4142135623730951,2.0,2.0290861037605006,2.4043629295144524,0.12618769996333867
adult,7,3,in_domain,r1_all_mutable,tree_milp_l1,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=19,1.0,2.000000027854983,1.4142135623730951,2.0,2.2175967972777637,2.432639547446648,0.13134760002139956
adult,7,3,in_domain,r1_all_mutable,tree_milp_l1,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=30,1.0,2.0000000406607708,1.4142135623730954,2.0,2.023108941966748,2.403466381955783,0.12083260004874319
adult,7,3,in_domain,r1_all_mutable,tree_milp_l1,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=33,1.0,2.0000000523613997,1.4142135623730956,2.0,1.923301192766108,2.388495231276316,0.12305040005594492
adult,7,3,in_domain,r1_all_mutable,tree_milp_l1,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=40,1.0,2.0000000210136744,1.4142135623730951,2.0,2.3027396897829595,2.4454109744811183,0.1272407000651583
adult,7,3,in_domain,r1_all_mutable,tree_milp_l1,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=42,1.0,2.000000014387547,1.4142135623730951,2.0,2.072177676862724,2.410826665916956,0.12352040002588183
adult,7,3,in_domain,r1_all_mutable,tree_milp_l1,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=48,1.0,2.0000000140549714,1.4142135623730951,2.0,1.8377859521017836,2.375667906870239,0.12500400003045797
adult,7,3,in_domain,r1_all_mutable,tree_milp_l1,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=56,1.0,2.000000052935734,1.4142135623730956,2.0,1.9468941045683397,2.392034168620985,0.11457790003623813
adult,7,3,in_domain,r1_all_mutable,tree_milp_l1,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=60,1.0,2.0000000134657405,1.4142135623730951,2.0,1.9491267294850025,2.392369022888491,0.12392729998100549
adult,7,3,in_domain,r1_all_mutable,tree_milp_l1,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=61,1.0,2.0000000455600073,1.4142135623730954,2.0,1.995398743782306,2.3993098571273532,0.12132869998458773
adult,7,3,in_domain,r1_all_mutable,tree_milp_l1,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=62,1.0,2.0000000158653854,1.4142135623730951,2.0,2.0512126222881184,2.4076819092086033,0.12253189994953573
adult,7,3,in_domain,r1_all_mutable,tree_milp_l1,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=64,1.0,2.0000000137840894,1.4142135623730951,2.0,2.1185908496010275,2.4177886412242438,0.1205263000447303
adult,7,3,in_domain,r1_all_mutable,tree_milp_l1,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=in_domain|row=70,1.0,2.000000072354098,1.4142135623730956,2.0,2.47021916782478,2.470532947527815,0.1273897000355646
adult,7,3,covariate_shift,r1_all_mutable,tree_milp_l1,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=covariate_shift|row=4,1.0,2.0000000061220686,1.4142135623730951,2.0,1.7863720387275432,2.3679558119312003,0.12787500000558794
adult,7,3,covariate_shift,r1_all_mutable,tree_milp_l1,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=covariate_shift|row=7,1.0,2.000000009582235,1.4142135623730951,2.0,2.1599349729239927,2.423990255520834,0.12221770000178367
adult,7,3,covariate_shift,r1_all_mutable,tree_milp_l1,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=covariate_shift|row=9,1.0,2.0000000247328007,1.4142135623730951,2.0,2.477806790390635,2.471671043291396,0.12392689997795969
