dataset,seed,depth,setting,constraint,method,valid,cost_l1,cost_l2,sparsity,plausibility,utility,runtime_sec
adult,7,3,covariate_shift,r1_all_mutable,tree_milp_l1,1.0,2.050000022842987,1.4301054246328844,2.05,2.2662761030861294,2.492441438305906,0.12236328000435606
adult,7,3,covariate_shift,r2_realistic,tree_milp_l1,1.0,2.050000022842987,1.4301054246328844,2.05,2.269446266628978,2.4929169628373335,0.12552255999762565
adult,7,3,exemplar_mismatch,r1_all_mutable,tree_milp_l1,1.0,2.000000029633169,1.4142135623730954,2.0,2.0631461688805004,2.409471954965244,0.12179222499253228
adult,7,3,exemplar_mismatch,r2_realistic,tree_milp_l1,1.0,2.000000029633169,1.4142135623730954,2.0,2.0631461688805004,2.409471954965244,0.12733240001252852
adult,7,3,in_domain,r1_all_mutable,tree_milp_l1,1.0,2.000000029633169,1.4142135623730954,2.0,2.0631461688805004,2.409471954965244,0.12417254502070137
adult,7,3,in_domain,r2_realistic,tree_milp_l1,1.0,2.000000029633169,1.4142135623730954,2.0,2.0631461688805004,2.409471954965244,0.1252490999933798
adult,7,3,subgroup_shift,r1_all_mutable,tree_milp_l1,1.0,2.1111111352902174,1.4495288118392933,2.111111111111111,2.2121406226786404,2.5484877842475693,0.1298296777660855
adult,7,3,subgroup_shift,r2_realistic,tree_milp_l1,1.0,2.1111111352902174,1.4495288118392933,2.111111111111111,2.2121406226786404,2.5484877842475693,0.12740022778355828
adult,13,3,covariate_shift,r1_all_mutable,tree_milp_l1,1.0,1.9863234322997108,1.4122009282477417,1.95,2.0749482775036054,2.3950656739252514,0.09339534501777962
adult,13,3,covariate_shift,r2_realistic,tree_milp_l1,1.0,2.100000026988503,1.4435028842544404,2.1,2.1710952025042483,2.5306643073641406,0.09048246000311337
adult,13,3,exemplar_mismatch,r1_all_mutable,tree_milp_l1,1.0,1.9863234397063667,1.4122009282477417,1.95,1.972439773916755,2.37968940579388,0.09288720999611541
adult,13,3,exemplar_mismatch,r2_realistic,tree_milp_l1,1.0,2.1000000343951593,1.4435028842544404,2.1,2.0806804115851887,2.5171020961329376,0.09166011000634171
adult,13,3,in_domain,r1_all_mutable,tree_milp_l1,1.0,1.9863234397063667,1.4122009282477417,1.95,1.972439773916755,2.37968940579388,0.09200628500548191
adult,13,3,in_domain,r2_realistic,tree_milp_l1,1.0,2.1000000343951593,1.4435028842544404,2.1,2.0806804115851887,2.5171020961329376,0.09154905999312177
adult,13,3,subgroup_shift,r1_all_mutable,tree_milp_l1,1.0,2.000000039916901,1.4142135623730954,2.0,2.2069106518615027,2.4310366376961268,0.09333805998903699
adult,13,3,subgroup_shift,r2_realistic,tree_milp_l1,1.0,2.000000039916901,1.4142135623730954,2.0,2.2069106518615027,2.4310366376961268,0.09534210500423797
adult,19,3,covariate_shift,r1_all_mutable,tree_milp_l1,1.0,2.0000000220981002,1.4142135623730954,2.0,2.196877142365674,2.4295315934529516,0.16583090501371772
adult,19,3,covariate_shift,r2_realistic,tree_milp_l1,1.0,2.0000000220981002,1.4142135623730954,2.0,2.196877142365674,2.4295315934529516,0.15132592499721795
adult,19,3,exemplar_mismatch,r1_all_mutable,tree_milp_l1,1.0,1.8806519128968648,1.353444087724038,1.9,2.029943812916067,2.280143484834275,0.1473516450088937
adult,19,3,exemplar_mismatch,r2_realistic,tree_milp_l1,1.0,1.8806519128968648,1.353444087724038,1.9,2.029943812916067,2.280143484834275,0.1521653250034433
adult,19,3,in_domain,r1_all_mutable,tree_milp_l1,1.0,1.8806519128968648,1.353444087724038,1.9,2.029943812916067,2.280143484834275,0.1493303149822168
adult,19,3,in_domain,r2_realistic,tree_milp_l1,1.0,1.8806519128968648,1.353444087724038,1.9,2.029943812916067,2.280143484834275,0.1697455099900253
adult,19,3,subgroup_shift,r1_all_mutable,tree_milp_l1,1.0,1.9104889422601634,1.3491729794529723,1.95,2.196819783844341,2.3375119098368144,0.14782045999891125
adult,19,3,subgroup_shift,r2_realistic,tree_milp_l1,1.0,1.9104889422601634,1.3491729794529723,1.95,2.1961234390049116,2.3374074581109,0.15024561500176786
bank,7,3,covariate_shift,r1_all_mutable,tree_milp_l1,1.0,2.0000000493179773,1.4142135623730956,2.0,2.718398021639261,2.5077597525638664,0.06182986501371488
bank,7,3,covariate_shift,r2_realistic,tree_milp_l1,1.0,2.0000000493179773,1.4142135623730956,2.0,2.718398021639261,2.5077597525638664,0.06187842001090758
bank,7,3,exemplar_mismatch,r1_all_mutable,tree_milp_l1,1.0,1.6147951288190843,1.1461659410462794,1.8,2.6094466331012733,2.0962121237842757,0.06277167499647476
bank,7,3,exemplar_mismatch,r2_realistic,tree_milp_l1,1.0,1.6147951288190843,1.1461659410462794,1.8,2.6094466331012733,2.0962121237842757,0.06073815500130877
bank,7,3,in_domain,r1_all_mutable,tree_milp_l1,1.0,1.6147951288190843,1.1461659410462794,1.8,2.6094466331012733,2.0962121237842757,0.061906240007374436
bank,7,3,in_domain,r2_realistic,tree_milp_l1,1.0,1.6147951288190843,1.1461659410462794,1.8,2.6094466331012733,2.0962121237842757,0.061252259998582304
bank,7,3,subgroup_shift,r1_all_mutable,tree_milp_l1,1.0,1.6098226280694194,1.1411934448971304,1.8,2.5875415532182053,2.08795386105215,0.06393207999644801
bank,7,3,subgroup_shift,r2_realistic,tree_milp_l1,1.0,1.6098226280694194,1.1411934448971304,1.8,2.5875415532182053,2.08795386105215,0.06047362999524921
bank,13,3,covariate_shift,r1_all_mutable,tree_milp_l1,1.0,2.0000000326106617,1.4142135623730954,2.0,2.6194671175152835,2.4929201002379546,0.06190382502391003
bank,13,3,covariate_shift,r2_realistic,tree_milp_l1,1.0,2.0000000326106617,1.4142135623730954,2.0,2.6194671175152835,2.4929201002379546,0.061817070009419696
bank,13,3,exemplar_mismatch,r1_all_mutable,tree_milp_l1,1.0,2.000000030097804,1.4142135623730954,2.0,2.492767574475816,2.473915166269176,0.06176130498643033
bank,13,3,exemplar_mismatch,r2_realistic,tree_milp_l1,1.0,2.000000030097804,1.4142135623730954,2.0,2.492767574475816,2.473915166269176,0.061913464992539954
bank,13,3,in_domain,r1_all_mutable,tree_milp_l1,1.0,2.000000030097804,1.4142135623730954,2.0,2.492767574475816,2.473915166269176,0.0625994950067252
bank,13,3,in_domain,r2_realistic,tree_milp_l1,1.0,2.000000030097804,1.4142135623730954,2.0,2.492767574475816,2.473915166269176,0.05994027999695391
bank,13,3,subgroup_shift,r1_all_mutable,tree_milp_l1,1.0,2.0000000418948476,1.4142135623730954,2.0,2.6471810308144335,2.4970771965170124,0.07367891997564584
bank,13,3,subgroup_shift,r2_realistic,tree_milp_l1,1.0,2.0000000418948476,1.4142135623730954,2.0,2.6471810308144335,2.4970771965170124,0.05894836001098156
bank,19,3,covariate_shift,r1_all_mutable,tree_milp_l1,1.0,2.0000000360817767,1.4142135623730954,2.0,2.626690732415426,2.4940036459440904,0.061904639995191246
bank,19,3,covariate_shift,r2_realistic,tree_milp_l1,1.0,2.0000000360817767,1.4142135623730954,2.0,2.626690732415426,2.4940036459440904,0.06165958000929095
bank,19,3,exemplar_mismatch,r1_all_mutable,tree_milp_l1,1.0,1.709733051085984,1.2118145459317107,1.85,2.490823413138581,2.1758565630567714,0.06203253499697894
bank,19,3,exemplar_mismatch,r2_realistic,tree_milp_l1,1.0,1.709733051085984,1.2118145459317107,1.85,2.490823413138581,2.1758565630567714,0.06097539999755099
bank,19,3,in_domain,r1_all_mutable,tree_milp_l1,1.0,1.709733051085984,1.2118145459317107,1.85,2.490823413138581,2.1758565630567714,0.06272463001077995
bank,19,3,in_domain,r2_realistic,tree_milp_l1,1.0,1.709733051085984,1.2118145459317107,1.85,2.490823413138581,2.1758565630567714,0.06107318996218965
bank,19,3,subgroup_shift,r1_all_mutable,tree_milp_l1,1.0,1.8115458841698229,1.2843380640736632,1.9,2.6771476626052126,2.308118033560605,0.06103025000775233
bank,19,3,subgroup_shift,r2_realistic,tree_milp_l1,1.0,1.8115458841698229,1.2843380640736632,1.9,2.6771476626052126,2.308118033560605,0.06135687998030335
german,7,3,covariate_shift,r1_all_mutable,tree_milp_l1,1.0,1.2724251260863702,1.1845570907719438,1.15,3.47785135385989,1.8516028291653537,0.14970347500639036
german,7,3,covariate_shift,r2_realistic,tree_milp_l1,1.0,1.2724251260863702,1.1845570907719438,1.15,3.47785135385989,1.8516028291653537,0.14909291501389815
german,7,3,exemplar_mismatch,r1_all_mutable,tree_milp_l1,1.0,0.6749902129529234,0.6164115135493521,1.1,3.389931789857522,1.2384799814315517,0.1493048699805513
german,7,3,exemplar_mismatch,r2_realistic,tree_milp_l1,1.0,0.6749902129529234,0.6164115135493521,1.1,3.389931789857522,1.2384799814315517,0.14999555998947472
german,7,3,in_domain,r1_all_mutable,tree_milp_l1,1.0,0.6749902129529234,0.6164115135493521,1.1,3.389931789857522,1.2384799814315517,0.1495487600157503
german,7,3,in_domain,r2_realistic,tree_milp_l1,1.0,0.6749902129529234,0.6164115135493521,1.1,3.389931789857522,1.2384799814315517,0.14920000999118202
german,7,3,subgroup_shift,r1_all_mutable,tree_milp_l1,1.0,0.965427212479931,0.9654271593454938,1.0,3.4972592440175014,1.5400160990825562,0.15267296667055538
german,7,3,subgroup_shift,r2_realistic,tree_milp_l1,1.0,0.965427212479931,0.9654271593454938,1.0,3.4972592440175014,1.5400160990825562,0.15044873335864395
german,13,3,covariate_shift,r1_all_mutable,tree_milp_l1,1.0,2.0000000504913107,1.4142135623730954,2.0,3.586008403561088,2.637901311025474,0.09678747998550534
german,13,3,covariate_shift,r2_realistic,tree_milp_l1,1.0,2.0000000504913107,1.4142135623730954,2.0,3.586008403561088,2.637901311025474,0.09682929500122554
german,13,3,exemplar_mismatch,r1_all_mutable,tree_milp_l1,1.0,2.0000000450225164,1.4142135623730954,2.0,3.4528779231287365,2.617931733491827,0.09593043499044143
